topic_cluster	query_id	query	item_type	result_set
3	55419	arbeit	publication	cews-2-761611, cews-2-772962, cews-2-806339, cews-2-806452, gesis-ssoar-41191, gesis-ssoar-46459, gesis-ssoar-48894, gesis-ssoar-5368, gesis-ssoar-57388, gesis-ssoar-57433, gesis-ssoar-57641, gesis-ssoar-57886, gesis-ssoar-61975, gesis-ssoar-62827, gesis-ssoar-64848, gesis-ssoar-64866, gesis-ssoar-64872, gesis-ssoar-64885, gesis-ssoar-66271, gesis-ssoar-67309, gesis-ssoar-67419, gesis-ssoar-67869, gesis-ssoar-67896, gesis-ssoar-68020, gesis-ssoar-68021, gesis-ssoar-68357, gesis-ssoar-69151, gesis-ssoar-69254, gesis-ssoar-69260, gesis-ssoar-72519, gesis-ssoar-72633, gesis-ssoar-72639, gesis-ssoar-73301, gesis-ssoar-74430, gesis-ssoar-74530, gesis-ssoar-74532, gesis-ssoar-74931, gesis-ssoar-74990, gesis-ssoar-75423, gesis-ssoar-75432, gesis-ssoar-75526, gesis-ssoar-75795, gesis-ssoar-76969, gesis-ssoar-77188, gesis-ssoar-77208, gris-publication-5845
3	228	arbeit	research_data	SDN-10.7802-1.1989, SDN-10.7802-2116, SDN-10.7802-2118, SDN-10.7802-2122, SDN-10.7802-2157, SDN-10.7802-2241, SDN-10.7802-2246, SDN-10.7802-2247, SDN-10.7802-2260, SDN-10.7802-2261, SDN-10.7802-2262, SDN-10.7802-2268, SDN-10.7802-2285, SDN-10.7802-2286, SDN-10.7802-2291, SDN-10.7802-2293, SDN-10.7802-2303, SDN-10.7802-2305, SDN-10.7802-2312, SDN-10.7802-2321, SDN-10.7802-2323, SDN-10.7802-2326, SDN-10.7802-2335, SDN-10.7802-2354, SDN-10.7802-2456, SDN-10.7802-2465, SDN-10.7802-2498, SDN-10.7802-2520, SDN-10.7802-2521, SDN-10.7802-2526, SDN-10.7802-2530, SDN-10.7802-2544, SDN-10.7802-2547, SDN-10.7802-2565, SDN-10.7802-2567, SDN-10.7802-2573, SDN-10.7802-2590, ZA2392, ZA3090, ZA3176, ZA3207, ZA3940, ZA4350, ZA4561, ZA4672, ZA4673, ZA4750, ZA4762, ZA4799, ZA4800, ZA4804, ZA4820, ZA4998, ZA5093, ZA5174, ZA5228, ZA5242, ZA5250, ZA5275, ZA5277, ZA5352, ZA5356, ZA5400, ZA5439, ZA5526, ZA5545, ZA5583, ZA5585, ZA5650, ZA5657, ZA5664, ZA5665, ZA5674, ZA5675, ZA5676, ZA5763, ZA5776, ZA5789, ZA5841, ZA5845, ZA5846, ZA5854, ZA5895, ZA5908, ZA5909, ZA5922, ZA5933, ZA5951, ZA5968, ZA5969, ZA5976, ZA5980, ZA5989, ZA6265, ZA6332, ZA6338, ZA6482, ZA6483, ZA6484, ZA6485, ZA6597, ZA6598, ZA6599, ZA6612, ZA6616, ZA6625, ZA6629, ZA6635, ZA6638, ZA6644, ZA6655, ZA6656, ZA6657, ZA6680, ZA6701, ZA6709, ZA6712, ZA6717, ZA6726, ZA6738, ZA6739, ZA6741, ZA6743, ZA6749, ZA6750, ZA6751, ZA6752, ZA6754, ZA6757, ZA6762, ZA6763, ZA6767, ZA6770, ZA6793, ZA6796, ZA6849, ZA6861, ZA6865, ZA6887, ZA6897, ZA6901, ZA6902, ZA6905, ZA6909, ZA6916, ZA6921, ZA6943, ZA6964, ZA6974, ZA6975, ZA6986, ZA7475, ZA7500, ZA7501, ZA7502, ZA7503, ZA7504, ZA7505, ZA7539, ZA7546, ZA7549, ZA7550, ZA7555, ZA7557, ZA7565, ZA7570, ZA7574, ZA7579, ZA7583, ZA7584, ZA7603, ZA7610, ZA7611, ZA7633, ZA7642, ZA7646, ZA7650, ZA7652, ZA7654, ZA7657, ZA7658, ZA7660, ZA7661, ZA7664, ZA7665, ZA7666, ZA7667, ZA7668, ZA7669, ZA7672, ZA7676, ZA7677, ZA7680, ZA7681, ZA7683, ZA7684, ZA7687, ZA7688, ZA7689, ZA7690, ZA7691, ZA7692, ZA7693, ZA7694, ZA7695, ZA7696, ZA7697, ZA7698, ZA7699, ZA7735, ZA7760, ZA7777, ZA7784, ZA7785, ZA7787, ZA7788, ZA7789, ZA7790, ZA7792, ZA7793, ZA7796, ZA7797, ZA7798, ZA7800, ZA7814, ZA7815, ZA7816, ZA7819, ZA7825, ZA7834, ZA7836, ZA7837, ZA7838, ZA7839, ZA7840, ZA7841, ZA7842, ZA7852, ZA7866, ZA7878, ZA7900, ZA7905, ZA7907, ZA7908, ZA7909, ZA7910, ZA7911, ZA7912, ZA7915, ZA7916, ZA7917, ZA7918, ZA7925, ZA7927, ZA7928, ZA7929, ZA7930, ZA7931, ZA8642, ZA8680, ZA8689, ZA8753, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de660474
3	55428	arbeit	variables	exploredata-ZA0145_VarV135, exploredata-ZA0861_VarV175, exploredata-ZA1990_VarV159, exploredata-ZA1990_VarV170, exploredata-ZA1990_VarV177, exploredata-ZA2140_VarV290, exploredata-ZA2140_VarV296, exploredata-ZA2324_VarV10, exploredata-ZA2324_VarV11, exploredata-ZA2400_VarV182, exploredata-ZA2400_VarV213, exploredata-ZA2546_VarV175, exploredata-ZA2599_VarV182, exploredata-ZA3160_VarV210, exploredata-ZA3450_VarV266, exploredata-ZA3450_VarV445, exploredata-ZA3850_VarV221, exploredata-ZA4223_VarV304, exploredata-ZA4224_VarV304, exploredata-ZA4259_VarV418, exploredata-ZA4500_VarV489, exploredata-ZA4600_VarV384, exploredata-ZA4610_VarV714, exploredata-ZA5100_VarVk34, exploredata-ZA5240_VarV106, exploredata-ZA5240_VarV114, exploredata-ZA5240_VarV150, exploredata-ZA5250_VarI000, exploredata-ZA5250_VarI004, exploredata-ZA5250_VarI013_1, exploredata-ZA5250_VarI020, exploredata-ZA5250_VarI039_2, exploredata-ZA5250_VarI039_3, exploredata-ZA5250_VarI039_4, exploredata-ZA5250_VarI039_6, exploredata-ZA5250_VarI043, exploredata-ZA5250_Varfh07, exploredata-ZA5250_Varmc02, exploredata-ZA6612_VarQ4_15_slice, exploredata-ZA6612_VarQ4_8_slice, exploredata-ZA6616_Varq15a, exploredata-ZA6616_Varq15g, exploredata-ZA6638_VarF20_2, exploredata-ZA6638_VarF20_3, exploredata-ZA6638_VarF20_5, exploredata-ZA6638_VarF8_3, exploredata-ZA6638_VarF8_8, exploredata-ZA6741_VarS2_11, exploredata-ZA6747_VarV30, exploredata-ZA6801A_Varq11, exploredata-ZA6801_Varq11, exploredata-ZA6802A_Varn204, exploredata-ZA6802_Varn204, exploredata-ZA6976_Vara2b1, exploredata-ZA6976_Vara2b2, exploredata-ZA7697_VarF1_2, exploredata-ZA7697_VarF3, exploredata-ZA7697_VarF37_10, exploredata-ZA7701_Varq110, exploredata-ZA7702_Varq110, exploredata-ZA7753_VarV137, exploredata-ZA7753_VarV138, exploredata-ZA7796_VarF14_1, exploredata-ZA7796_VarF14_3, exploredata-ZA7796_VarF14_6, exploredata-ZA7796_VarF15_3, exploredata-ZA7796_VarF15_4, exploredata-ZA7856_VarV179, missy-mz-2011-ef1097u3, missy-mz-2017-ef116u3, missy-mz-2017-ef178, missy-mz-2018-ef116u3, missy-mz-2018-ef178, missy-mz-2019-ef116u3, missy-mz-2019-ef178, missy-mz-2019-ef225, missy-mz-2020-eb0600pu03, missy-mz-2020-ed1700p
3	55730	arbeit als mittel der	instruments_tools	pretest-12, pretest-14, pretest-22, pretest-23, pretest-34, pretest-4, pretest-50, pretest-66, pretest-67, zis7
3	55729	arbeit als mittel der existenzsicherung	instruments_tools	zis7
3	55460	arbeit ausbeutung	publication	cews-2-680204, cews-2-730731, cews-2-809243, cews-2-809245, gesis-ssoar-34954, gesis-ssoar-39140, gesis-ssoar-50954, gesis-ssoar-50957, gesis-ssoar-61144, gesis-ssoar-62031
3	55458	arbeit behinderung	publication	cews-2-806089, gesis-ssoar-20191, gesis-ssoar-20569, gesis-ssoar-29293, gesis-ssoar-31513, gesis-ssoar-32096, gesis-ssoar-32977, gesis-ssoar-34142, gesis-ssoar-34257, gesis-ssoar-34848, gesis-ssoar-42747, gesis-ssoar-43650, gesis-ssoar-43699, gesis-ssoar-43790, gesis-ssoar-44795, gesis-ssoar-44800, gesis-ssoar-46130, gesis-ssoar-47065, gesis-ssoar-47084, gesis-ssoar-47118, gesis-ssoar-47362, gesis-ssoar-49488, gesis-ssoar-52143, gesis-ssoar-53031, gesis-ssoar-53694, gesis-ssoar-55056, gesis-ssoar-55628, gesis-ssoar-56230, gesis-ssoar-57585, gesis-ssoar-59361, gesis-ssoar-59766, gesis-ssoar-61504, gesis-ssoar-62625, gesis-ssoar-64187, gesis-ssoar-64973, gesis-ssoar-66926, gesis-ssoar-69648, gesis-ssoar-72132, gesis-ssoar-75737, gesis-ssoar-77591, gesis-ssoar-79179, gesis-ssoar-80169, gesis-ssoar-84972, gesis-ssoar-86605
3	55719	arbeit behinderung	research_data	ZA2993, ZA4553, ZA4728, ZA4743, ZA4804, ZA4972, ZA5174, ZA5365, ZA5980, ZA6680
3	3285	arbeit belastung	instruments_tools	pretest-29, pretest-36, zis176, zis177, zis204, zis3, zis32
3	55457	arbeit beruf	instruments_tools	gml-2, gml-4, pretest-21, pretest-23, pretest-29, pretest-3, pretest-34, pretest-35, pretest-38, pretest-4, pretest-48, pretest-54, pretest-59, pretest-60, pretest-8, zis13, zis2, zis209, zis266, zis268, zis275, zis277, zis280, zis287, zis288, zis296, zis299, zis3, zis304, zis9
3	55725	arbeit beruf	research_data	ZA4820, ZA5657, ZA5789, ZA5845, ZA5909, ZA5969, ZA6612, ZA6964, ZA8642, ZA8689
3	55724	arbeit definitionen	publication	gesis-ssoar-16402, gesis-ssoar-23749, gesis-ssoar-32445, gesis-ssoar-32466, gesis-ssoar-32482, gesis-ssoar-34587, gesis-ssoar-50686, gesis-ssoar-55703, gesis-ssoar-62440, gesis-ssoar-66500
3	55711	arbeit einkommen wirtschaft	research_data	ZA6725, ZA6727, ZA6743, ZA6745, ZA6746, ZA7550, ZA7592, ZA7648, ZA7671, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737294
3	55709	arbeit einstellung	publication	cews-2-626569, cews-2-725427, gesis-bib-141851, gesis-bib-144878, gesis-bib-84662, gesis-bib-87315, gesis-ssoar-19644, gesis-ssoar-2416, gesis-ssoar-32445, gesis-ssoar-34551, gesis-ssoar-38999, gesis-ssoar-41782, gesis-ssoar-46441, gesis-ssoar-51352, gesis-ssoar-56124, gris-publication-1869, literaturpool-06e3a2b623be001a97c54a4c43ed9cea, literaturpool-3ea8e6e4a55085e00f913f9a236dcad4, literaturpool-4486683f916e1d33206f0032a5253d4a, literaturpool-d237cd7565f17173fd21fecbcfff946d
3	55658	arbeit entgrenzung	publication	gesis-ssoar-10927, gesis-ssoar-1720, gesis-ssoar-18527, gesis-ssoar-20176, gesis-ssoar-23553, gesis-ssoar-23767, gesis-ssoar-32460, gesis-ssoar-32860, gesis-ssoar-45494, literaturpool-2462c841fa237ce68fafa1ce2a3fa78b
3	55657	arbeit entgrenzung auswirkung	publication	gesis-ssoar-18304, gesis-ssoar-18379, gesis-ssoar-23636, gesis-ssoar-32340, gesis-ssoar-32474, gesis-ssoar-34409, gesis-ssoar-45494, gesis-ssoar-53951, gesis-ssoar-59316, gesis-ssoar-65004
3	55653	arbeit entgrenzung familie	publication	cews-2-609909, cews-2-611608, cews-2-622468, cews-2-637030, cews-2-653417, cews-2-678583, cews-2-716972, cews-2-718463, cews-2-802954, gesis-ssoar-10927, gesis-ssoar-11578, gesis-ssoar-1723, gesis-ssoar-17236, gesis-ssoar-1725, gesis-ssoar-18304, gesis-ssoar-18527, gesis-ssoar-20176, gesis-ssoar-21095, gesis-ssoar-23553, gesis-ssoar-28307, gesis-ssoar-32460, gesis-ssoar-33976, gesis-ssoar-34409, gesis-ssoar-34551, gesis-ssoar-34726, gesis-ssoar-40110, gesis-ssoar-53951, gesis-ssoar-56635, gesis-ssoar-58292, gesis-ssoar-59620
3	55651	arbeit familie	instruments_tools	gml-10, gml-11, gml-12, pretest-19, pretest-3, pretest-35, pretest-42, pretest-8, zis148, zis72
3	55652	arbeit familie	research_data	ZA5228, ZA5545, ZA5650, ZA5657, ZA5789, ZA5845, ZA5854, ZA5951, ZA5969, ZA6612, ZA6964, ZA7502, ZA7504, ZA8689
3	55648	arbeit frauen	publication	cews-2-580443, cews-2-603562, cews-2-643071, cews-2-686048, cews-2-700451, cews-2-705695, cews-2-784272, cews-2-806124, cews-2-806452, cews-2-806565, cews-2-806691, cews-2-806697, cews-2-807360, cews-2-807390, cews-2-807907, cews-2-809705, gesis-ssoar-16892, gesis-ssoar-18274, gesis-ssoar-20198, gesis-ssoar-21012, gesis-ssoar-25585, gesis-ssoar-26071, gesis-ssoar-26937, gesis-ssoar-28871, gesis-ssoar-32445, gesis-ssoar-34686, gesis-ssoar-46675, gesis-ssoar-48203, gesis-ssoar-57291
3	55647	arbeit frauen gleichstellung	publication	cews-2-511853, cews-2-651668, cews-2-671795, cews-2-735911, cews-2-802921, gesis-ssoar-3161, gesis-ssoar-39438
3	55646	arbeit frauen gleichstellung zeitung	publication	gesis-ssoar-12622, gesis-ssoar-16470, gesis-ssoar-19246, gesis-ssoar-21216, gesis-ssoar-21292, gesis-ssoar-23545, gesis-ssoar-23602, gesis-ssoar-23618, gesis-ssoar-27320, gesis-ssoar-31548, gesis-ssoar-32173, gesis-ssoar-32432, gesis-ssoar-32464, gesis-ssoar-33006, gesis-ssoar-33399, gesis-ssoar-39344, gesis-ssoar-39400, gesis-ssoar-39664, gesis-ssoar-52352
3	55664	arbeit gamification	publication	gesis-ssoar-43271, gesis-ssoar-46485, gesis-ssoar-55486, gesis-ssoar-56159
3	55642	arbeit gibt struktur	publication	cews-2-601241, gesis-ssoar-11796, gesis-ssoar-19898, gesis-ssoar-32445, gesis-ssoar-34675, gesis-ssoar-40260, gesis-ssoar-50686, gesis-ssoar-51824, gesis-ssoar-58609, gesis-ssoar-64065
3	55641	arbeit heute	research_data	ZA1666, ZA3062, ZA4820, ZA5740, ZA8125, ZA8168, ZA8179, ZA8232, ZA8265, ZA8278
3	55640	arbeit im umbruch	publication	gesis-ssoar-19568, gesis-ssoar-23577, gesis-ssoar-23655, gesis-ssoar-25586, gesis-ssoar-49215
3	55639	arbeit im wandel	instruments_tools	gml-2
3	55644	arbeit ist nur ein mittel um geld zu verdienen	instruments_tools	zis253, zis7
3	55645	arbeit ist nur ein mittel um geld zu verdienen	variables	exploredata-ZA1990_VarV38, exploredata-ZA2400_VarV421, exploredata-ZA4500_VarV535, exploredata-ZA5250_VarI001_1
3	55478	arbeit job satisfaction	instruments_tools	zis1, zis2
3	55696	arbeit lebenszufriedenheit	research_data	ZA4286, ZA4727, ZA5061, ZA5583, ZA5611, ZA5664, ZA5665, ZA5666, ZA5854, ZA5922, ZA5980, ZA6246, ZA6338, ZA6483, ZA6484, ZA6485, ZA6605, ZA6701, ZA7471, ZA7500
3	55695	arbeit mit familien	publication	cews-2-662739, cews-2-772962, gesis-ssoar-17558, gesis-ssoar-28307, gesis-ssoar-37643, gesis-ssoar-37645, gesis-ssoar-41473, gesis-ssoar-56581, gesis-ssoar-59620, literaturpool-805a8eefef7ddb177c29d97ae6004119
3	55694	arbeit mit geistig	publication	gesis-ssoar-29293, gesis-ssoar-30937, gesis-ssoar-32291, gesis-ssoar-32340, gesis-ssoar-32445, gesis-ssoar-32823, gesis-ssoar-52143, gesis-ssoar-64796, gesis-ssoar-64982, gesis-ssoar-69648
3	55693	arbeit motiv	research_data	ZA5228, ZA5439, ZA5650, ZA5841, ZA5854, ZA6751, ZA6752, ZA6767, ZA7555, ZA7583
3	55706	arbeit nutzung	variables	exploredata-ZA2313_Varv88, exploredata-ZA3762_VarV203, exploredata-ZA3762_VarV228, exploredata-ZA3762_VarV247
3	55704	arbeit prekarisierung werte	publication	cews-2-773690, gesis-ssoar-28351, gesis-ssoar-29972, gesis-ssoar-31562, gesis-ssoar-33968, gesis-ssoar-35071, gesis-ssoar-3879, gesis-ssoar-39743, gesis-ssoar-44540, gesis-ssoar-45348
3	55702	arbeit probleme	instruments_tools	pretest-12, pretest-35, pretest-36, pretest-50, pretest-59, pretest-60, pretest-66, pretest-67, zis21, zis32
3	55692	arbeit präsen	instruments_tools	pretest-23, pretest-4
3	55667	arbeit subjekt	publication	cews-2-764808, cews-2-764810, gesis-ssoar-18513, gesis-ssoar-18520, gesis-ssoar-25544, gesis-ssoar-25615, gesis-ssoar-25617, gesis-ssoar-25618, gesis-ssoar-46675, gesis-ssoar-58609
3	55666	arbeit und	research_data	ZA4561, ZA5526, ZA5908, ZA6644, ZA6861, ZA7475, ZA7500, ZA7503, ZA7504, ZA7505
3	55690	arbeit und arbeitszufriedenheit	instruments_tools	zis1, zis2
3	55684	arbeit und beruf	instruments_tools	pretest-21, pretest-23, pretest-3, pretest-34, pretest-35, pretest-38, pretest-4, pretest-48, pretest-54, pretest-59, pretest-60, pretest-66, pretest-67, pretest-7, pretest-8, zis13, zis2, zis209, zis296, zis297, zis3, zis304, zis305, zis312, zis315, zis316, zis326, zis330, zis9
3	55688	arbeit und beruf	research_data	ZA4820, ZA5657, ZA5789, ZA5845, ZA5909, ZA5969, ZA5979, ZA6262, ZA6612, ZA6964, ZA7500, ZA7549, ZA7550, ZA7555, ZA7574, ZA8642
3	55529	arbeit und beruf im wandel	research_data	ZA3384, ZA4820, ZA5578, ZA5593, ZA5594, ZA5657, ZA5674, ZA6612, ZA6630, ZA7574, ZA8642
3	55381	arbeit und beruf im wandel erwerb und verwertung	research_data	ZA3379, ZA4820, ZA5657, ZA7574, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de287736, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de287738, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737322, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de8522, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de8523, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de8536
3	55380	arbeit und berufstätigkeit	research_data	ZA5789, ZA5841, ZA5854, ZA5909, ZA5951, ZA5969, ZA6964, ZA7579, ZA8642, ZA8689
3	3279	arbeit und beschäftigung	instruments_tools	pretest-23, pretest-4, pretest-80, pretest-97, zis9
3	55089	arbeit und beschäftigung	research_data	ZA5583, ZA5650, ZA5763, ZA5789, ZA5845, ZA5846, ZA5909, ZA5922, ZA5969, ZA5975, ZA5976, ZA6612, ZA6616, ZA6751, ZA6752, ZA6964, ZA7579, ZA7796, ZA8642, ZA8689
3	55083	arbeit und betrieb	instruments_tools	pretest-90, zis3
3	3277	arbeit und betrieb	research_data	ZA4820, ZA5545, ZA5634, ZA5650, ZA5657, ZA5763, ZA5909, ZA5969, ZA6680, ZA6751, ZA6752, ZA6759, ZA6864, ZA6865, ZA6964, ZA7574, ZA7579, ZA8642
3	55082	arbeit und familie	research_data	ZA5854, ZA7500, ZA7502, ZA7503, ZA7504, ZA7505, ZA7539, ZA7546, ZA7549, ZA7550
3	55080	arbeit und familie	variables	exploredata-ZA4919_Varv08_02, exploredata-ZA5250_VarI004, exploredata-ZA6605_Varq27_01, exploredata-ZA6625_VarF22_4, exploredata-ZA6625_VarF32b_6, exploredata-ZA6638_VarF17_3, exploredata-ZA6638_VarF8_11, exploredata-ZA6638_VarF9_11, exploredata-ZA7697_VarF4_6, exploredata-ZA7796_VarF3_3
3	55100	arbeit und geschlecht statistik	research_data	ZA2472, ZA4820, ZA5657, ZA8077, ZA8078, ZA8184, ZA8194, ZA8380, ZA8617, ZA8640
3	55060	arbeit und sinnfrage	publication	bibsonomy-schnell2020psychologie, gesis-ssoar-18251, gesis-ssoar-27808, gesis-ssoar-38644, gesis-ssoar-39334, gesis-ssoar-48755, gesis-ssoar-71013
3	55056	arbeit von zu	research_data	ZA5789, ZA6611, ZA6627, ZA6633, ZA6945, ZA6946, ZA6947, ZA6964, ZA8642, datorium-10.7802-74
3	3246	arbeit werte	research_data	ZA5585, ZA5970, ZA5975, ZA6738, ZA6797, ZA7500, ZA7501, ZA7502, ZA7503, ZA7504, ZA7505, ZA7539, ZA7546, ZA7549, ZA7550, ZA7671
3	55055	arbeit zentralität	research_data	ZA0486, ZA4267, ZA5165
3	55073	arbeit zufriedenheit	instruments_tools	pretest-28, zis1, zis14, zis2, zis3, zis304, zis305, zis72
3	55077	arbeit zufriedenheit	publication	cews-2-721192, cews-2-761611, gesis-bib-144878, gesis-bib-84662, gesis-ssoar-37314, gesis-ssoar-42668, gesis-ssoar-56190, gesis-ssoar-62558, gris-publication-1920, literaturpool-2462c841fa237ce68fafa1ce2a3fa78b
3	55054	arbeit zufriedenheit	research_data	ZA5546, ZA5582, ZA6618, ZA6626, ZA6639, ZA6724, ZA6730, ZA6738, ZA6743, ZA6758, ZA6956, ZA7684, ZA7736, ZA7737, ZA7738, ZA7745, ZA7831
3	55053	arbeit zufriedenheit	variables	exploredata-ZA4741_Varv09202, exploredata-ZA5593_Varx10302, exploredata-ZA5594_Vary10302, exploredata-ZA6623_Varq4a, exploredata-ZA6623_Varq4h, exploredata-ZA6623_Varq4i, exploredata-ZA6976_Vara2b2, exploredata-ZA7816_VarF1, exploredata-ZA7816_VarF22, exploredata-ZA7816_VarF27
3	55071	arbeite	instruments_tools	zis148, zis17, zis174, zis176, zis177, zis18, zis196, zis204, zis23, zis25, zis4, zis5, zis51, zis52, zis53, zis58, zis59, zis74, zis80, zis9
