query_id	query	pub_desc	pub_narr
1326	demokratie	The user seeks a scholarly overview of democracy, including its historical development, forms and theories (representative, direct, participatory, deliberative), conditions for emergence and stability, and ways to measure its quality and performance. They also want analyses of contemporary challenges—globalization, media, populism, religion and equality—and empirical evidence, especially for Germany and in comparative perspective (e.g., ALLBUS/WVS).	A document is relevant if it substantively examines democracy as a political concept, regime type, or practice—such as its history from antiquity to modernity, typologies (representative, plebiscitary, deliberative, participatory, direct), conditions of emergence and consolidation, measurement of its quality, or crises—with concrete analyses or data (e.g., ALLBUS, World Values Survey). Works that connect democracy to adjacent themes like globalization, media, equality and dignity, religion–state relations, populism, or transitions in Latin America and Eastern Europe, as well as case-focused discussions (e.g., direct democracy in German federalism), are also relevant. Normative or philosophical treatments (aphoristic defenses, radical or decolonial critiques, Tocqueville/Weber interpretations) qualify when democracy remains the central object of inquiry. Non-relevant items merely name-drop “Demokratie,” use it metaphorically, or focus primarily on unrelated methods or economics where democracy is incidental. Edge cases include German compounds and adjectival forms (Demokratietheorie, Postdemokratie, demokratisch), which should count, whereas occurrences confined to titles, publisher names, or brief mentions without substantive discussion should not.
13621	kultur	The user seeks a comprehensive, scholarly overview of the concept of culture—its definitions and theoretical evolution (classical to post-classical), and its roles as communication, integration/disintegration, and social practice. They are interested in how culture intersects with media, politics, economy, gender, globalization, and key debates such as the Snow–Leavis “two cultures” controversy.	A document is relevant if it centrally examines Kultur as a concept or domain, for example by defining it, tracing its etymology, or theorizing it in sociology or cultural studies (e.g., classical vs. postclassical culture theory, culture as communication, culture’s role in integration or disintegration). Analyses of specific arenas such as the Snow–Leavis “two cultures” debate, political culture, culture and gender around 1800/1900, globalization and media, or the culture and creative industries also count as relevant, as do substantive discussions of compound notions like Unternehmenskultur, Streitkultur, or interkulturelle Kommunikation. Documents that merely mention the word in passing, list it only in bibliographic titles without treatment, or use “Kultur” in unrelated senses (e.g., microbial/bacterial cultures or horticulture) are non-relevant. Edge cases include table-of-contents style overviews: they are relevant if the items demonstrably engage Kultur (e.g., Marcuse on Eros and culture, Sennett on the culture of capitalism), but not if “Kultur” appears only as a buzzword. Variants and plurals (Kulturen) or closely related German compounds are relevant when the surrounding text clearly analyzes cultural meanings, practices, or values rather than using the term as a label.
14255	konsum	The query seeks comprehensive, German-language research on consumption (Konsum) from sociological, economic, and policy perspectives. It spans local and sustainable consumption, consumption’s role in identity and recognition, governance and historical transitions (e.g., Soviet/DDR), demographic effects on demand, and empirical monitoring of psychoactive substance use.	A document is relevant if it centrally addresses consumption (Konsum) as behavior, practice, or concept—whether socio-cultural, economic, political, or public-health related. Examples include analyses of locally oriented consumption among multi-local households, discussions of sustainable consumption in food (e.g., organic purchases and consumption biographies), prevalence studies of substance use (“Konsum von Alkohol/Cannabis”), theoretical work on recognition, governmentality and the politics of consumer society, or economic/demographic studies of household consumption by purpose. Historical and institutional perspectives—such as DDR consumer shortages, debates over “richtiger/falscher Konsum,” or educational programs for sustainable consumption—also count, as do operational measures like expenditures or prevalence rates. Non-relevant items are those where “Konsum” appears only tangentially (e.g., in passing or metadata), as a proper noun or brand without discussing consumer practices, or as a homograph/near miss unrelated to consumption. Edge cases: compound and variant forms (Konsums, konsumieren, Konsumgesellschaft, Nichtkonsum), domains like media consumption and large local investments, and drug-use contexts are relevant; documents where consumption is a minor aside should be deprioritized.
1537	social media	The user is seeking scholarly analyses of how social media operates as a socio-technical system shaping news production, agenda setting, policy, trust, social cohesion, relationships, health behaviors, and organizational strategies. They want evidence-based insights into mechanisms like commodification, engagement, media literacy, and platform logic across diverse contexts and case studies.	A document is relevant to the query “social media” when it primarily examines social media platforms, practices, or effects—for example, studies of Facebook/Twitter agenda setting, newsroom use and commodification of social media, disaster communication via social platforms, social cohesion impacts, or policy influence sparked by trending topics. Theoretical or methodological work that analyzes “social media logic,” datafication, platform-specific engagement, or sectoral uses (museums’ Facebook/Twitter strategies, sports marketing on social networks, adolescent sexual risk on Instagram/Snapchat) is also relevant, even if it uses terms like “social networking sites” or refers only to platform names. Regional case studies (e.g., Indonesia, Pakistan, Lebanon) and cross-media comparisons that explicitly include social media metrics, exposure, or posting behavior likewise count. Non-relevant items are those that mention social media only in passing, focus solely on legacy media without a social component, use “social networks” to mean offline interpersonal networks, or discuss “media” generically without digital social platforms. Edge cases include historical or “social movement media” analyses that mix offline and online channels (partially relevant if they analyze digital platforms) and media literacy/trust studies that are relevant only when they explicitly measure or theorize social media use rather than general media consumption.
15423	jugendliche	The user is seeking comprehensive academic research on adolescents, especially those with migration backgrounds, in Germany and related contexts. They want empirical and longitudinal studies covering integration, school-to-work transitions, social and family relations, leisure, multilingualism, and the effects of youth and labor-market policies.	A document is relevant if it primarily studies or targets adolescents/youth (e.g., school-age cohorts or young people in transition to work), explicitly labeling them as “Jugendliche” and presenting age-defined data, samples, or interventions. For example, surveys of 10th graders in NRW, longitudinal panels on Turkish-origin and Aussiedler youth, analyses of gymnasium participation in the Mikrozensus, or studies of transitions in the DJI Übergangspanel are clearly relevant; even focused topics like hairstyle preferences among 14–26-year-olds or youth leisure/violence/drug attitudes qualify when adolescents are the main unit of analysis. A document is non-relevant if it discusses general population policies without youth-specific findings, uses “jugendlich” only as a stylistic adjective (e.g., “youthful style”), or mentions adolescents only in passing without data or conclusions about them. Edge cases include mixed-age samples where adolescents are one subgroup (relevant if substantive subgroup results are reported), studies of “young adults” stretching to mid-20s (relevant if adolescent-range data are included), or historical/DDR contexts that still analyze youth behavior or perceptions. Clear age ranges, school grades (e.g., 7th, 10th), or labels like SGB II youth, migrant-background youth associations, and panel designs strengthen relevance; vague references to “youth” without defined samples or outcomes weaken it.
1552	religiosität	The user is seeking sociological research on religiosity—its definitions, dimensions, and measurement (e.g., via ALLBUS)—including distinctions between Christian and alternative/spiritual forms and their development over time in Germany and Europe. They also want evidence on how religiosity relates to demographics and social outcomes such as morality, fertility, gender-role attitudes, antisemitism, youth spirituality, and well-being.	A document is relevant if it directly analyzes, defines, measures, or explains patterns, drivers, or outcomes of religiosity (Religiosität), including individual or group religiosity across traditions (e.g., Christian, Islamic, “alternative”/spiritual) and life stages. Strong signals include empirical work using surveys like ALLBUS, EVS, or ISSP; factor analyses of dimensions (e.g., mysticism, magic, health practices, Huber’s centrality/Z-scale); and studies linking religiosity to topics such as fertility, gender-role values, antisemitism, well-being, or East/West differences. Items are non-relevant if they only mention the term in passing, focus solely on church institutions or theology without addressing religiosity as a construct, or discuss “religion” generically without measurement, conceptualization, or behavioral/attitudinal indicators. Edge cases counted as relevant include work using near-synonyms (Spiritualität, Kirchlichkeit, Glaube) when tied to religiosity constructs, subgroup analyses (e.g., youth, Muslim minorities, clergy), methodological papers on measuring religiosity, and trend studies on secularization that quantify religiosity. Conversely, pieces about religious history, liturgy, or culture with no treatment of religiosity levels, dimensions, or correlates—even if the word appears—should be considered non-relevant.
15640	karriere	Find scholarly analyses of the concept of career and career success, including subjective vs. objective dimensions and the influence of gender, dual-career partnerships, and international mobility (expatriates/flexpatriates). Emphasis is on academic and NPO contexts, work–life balance, and institutional factors shaping career trajectories.	A document is relevant if it substantively treats “Karriere” (career) as the main topic—defining it, measuring career success, mapping career paths, or analyzing determinants—such as studies on expatriates/flexpatriates, dual‑career couples, women in science, or careers in specific fields (e.g., chemistry, theology, engineering) and sectors (e.g., NPOs). It remains relevant when the concept appears via variants and related terms (Karrieren, Doppelkarriere, Karrierefrau, berufliche Laufbahn), includes empirical comparisons or regional differences, or uses theoretical frames (e.g., Bourdieu’s field/habitus) to explain career trajectories. Documents are non‑relevant if “Karriere” is only a passing or metaphorical mention (e.g., the “career” of terrorists or of a concept), confined to metadata, or if the focus is unrelated to occupational/academic careers. Edge cases include historical handbooks that chart stages of careers (relevant), critiques of gendered career discourse and work–life tensions (relevant), and pieces where “Dual Career” appears in English within German text (still relevant). Texts that omit the word “Karriere” but clearly discuss career processes via synonyms like Laufbahn or beruflicher Aufstieg can also be judged relevant.
15721	job	The query seeks research-based insights on job quality and security—how job satisfaction, job fit, and specific job attributes (e.g., security, autonomy, pay) affect well-being, performance, mobility, and turnover across countries. It also looks for evidence on gender/cultural differences and policy levers such as employer job security guarantees and regulations.	Because the query is the single word “job,” the most relevant documents are those primarily about employment positions and labor-market topics—such as job quality, job security, job satisfaction, job mobility, hiring/quitting, and workplace outcomes or policies. Items like studies on job insecurity and satisfaction, job guarantees, graduate jobs classifications, refugees’ job quality, supervisory roles and satisfaction, and cross-country analyses of job attributes are highly relevant; documents using close synonyms (employment, work, occupation, position, role) also qualify if the focus is clearly on employment. A document can still be relevant even if the word “job” appears infrequently, provided its core analysis concerns employment outcomes or job design; conversely, texts that only mention “job” in passing while focusing on unrelated themes are weak matches. Non-relevant uses include “Job” as a proper noun (the biblical figure), surnames (e.g., “Jobs”), technical/computing senses (print/cron jobs, task schedulers), media titles (e.g., “The Italian Job”), or slang where employment is not the topic. Edge cases include education or skills research that is relevant if it explicitly links to employment outcomes (e.g., graduate jobs, on-the-job training), but general well-being or organizational topics with no employment linkage would not be.
15758	job satisfaction	The user seeks empirical research on the determinants of job satisfaction and how they differ across demographics, roles, occupations, and countries. They want evidence on factors such as job characteristics, work-life balance, stress, and organizational commitment, and how these relate to outcomes like performance, turnover, and well-being.	A document is relevant if it directly examines job satisfaction as a primary variable—measuring its levels, determinants, or consequences—and may do so within specific groups (e.g., men vs. women, supervisors vs. non-supervisors, Gen Y, housekeepers) or contexts (e.g., work-life balance, job insecurity, job characteristics, QWL), often using survey data or validated scales. Studies where job satisfaction acts as a mediator or moderator in models of performance, commitment, turnover intent, or well-being are also relevant, as are analyses using large datasets like ISSP, EVS, EU-SILC, or PIAAC that compare satisfaction across countries, ages, or occupations. Papers are non-relevant if they mention “job satisfaction” only tangentially, focus on other forms of satisfaction (e.g., customer or life satisfaction) without explicitly linking to job satisfaction, or use “satisfaction” in unrelated senses. Edge cases include research on engagement, stress, or organizational commitment: these are relevant only if the relationship to job satisfaction is explicitly modeled or tested; domain-specific or methodological duplicates remain relevant when job satisfaction is a focal outcome, but mere passing references or generic “job” discussions are not.
1635	depression	The user seeks scholarly information on depression, including its prevalence across populations, validated assessment tools, and associations with comorbidities and social factors (e.g., pain, obesity, health literacy, ostracism, bullying, loneliness, age, gender). They also want insights into consequences like suicide risk, quality of life, and political engagement, and implications for prevention and clinical interventions.	A document is relevant to the query “depression” when it directly examines depressive disorders or symptoms in humans, such as studies reporting prevalence, risk factors, comorbidities, measurement tools (e.g., PHQ-9, BDI, CDSS), or treatment/clinical implications. For example, research on depression in schizophrenia using PANSS and the Calgary Depression Scale, adolescent studies linking bullying, loneliness, rumination, or pain intensity to depressive symptoms, or surveys connecting health literacy or age with depression are all clearly relevant. Documents that focus on adjacent phenomena but use depression as a key outcome or mediator—like effects on political participation or peer ostracism—are still relevant if depression is measured and interpreted as a central construct. Edge cases include pieces about “depression” in non-mental-health senses (economic recessions, geological depressions), which are non-relevant, and work on animal depression or veterinary antidepressants, which may be only partially relevant unless explicitly tied back to human depressive disorder constructs and diagnostics. Mentions of depression that are incidental (e.g., a covariate in a study primarily about unrelated outcomes without analysis of depressive symptoms) are marginally relevant at best.
16523	klimaschutz	The user is looking for analyses of climate protection policies and instruments across local, national, and international levels, including their integration into planning, barriers to implementation, and drivers of public support. They want case-based insights and recent political developments affecting climate action (e.g., Paris Agreement dynamics, US and EU policy, municipal initiatives).	A document is relevant to the query “klimaschutz” when it focuses on climate protection/mitigation measures, policies, or governance aimed at reducing greenhouse gas emissions, whether at municipal, national, or international level—for example, integrated municipal climate protection concepts, EU or U.S. CO2 standards for power plants, evaluations of the Paris Agreement, or pricing of emissions. Analyses of public opinion and political dynamics are also relevant if they affect support for or implementation of climate protection, such as surveys on willingness to back climate policies, narrative strategies to build majorities, or indices that measure municipal engagement in climate mitigation and adaptation. Planning and implementation contexts count when they integrate Klimaschutz into spatial or regional development, funding programs (e.g., Kommunalrichtlinie), or cross-border energy transition projects with explicit mitigation objectives. By contrast, pieces that address only climate adaptation without linking to mitigation, general energy geopolitics or trade with only passing references to climate goals, or environmental topics (biodiversity, flood control) lacking an explicit mitigation focus are non-relevant. Edge cases include methodological or governance studies (e.g., pretesting texts for climate interventions, federalism’s impact on building-sector rules); these are relevant if they substantively inform the design, adoption, or effectiveness of climate protection instruments, but not if they merely name-drop Klimaschutz.
1670	rassismus	The user seeks comprehensive, scholarly information on racism, including its definitions, historical development, and major forms (e.g., antisemitic, anti-Black, and anti-Muslim/“neo-racism”). They also want analyses of how racism operates through language, media, nationalism, and the economy, along with empirical findings and policy or civil-society responses in Germany and Europe.	A document is relevant to the query “rassismus” if it directly defines, analyzes, measures, or historicizes racism, including discussions of antisemitism, anti-Black racism, anti-Muslim “neo-racism,” racism in language and media, or policy and NGO responses to racism. Empirical studies using surveys or methods (e.g., ALLBUS regressions, structural equation models), theoretical accounts linking racism to nationalism, class, colonialism, or discourse, and historical overviews from early caste systems to the Holocaust and post-1945 developments are clearly on-topic. Texts centered on xenophobia, ethnocentrism, or “Ausländerfeindlichkeit” are relevant when they explicitly compare or distinguish these from racism; if they discuss generic prejudice or immigration policy without tying it to racism, they are borderline or non-relevant. Non-relevant items include uses of “Rasse” in biological taxonomy or animal breeding, casual metaphorical mentions, or acronyms/brand names that match the string (e.g., ICE, ZARA) without engaging anti-racism work. Edge cases like critiques of anti-racism strategies, methodological debates, or governance measures are relevant if they substantively engage the concept or practice of racism in context.
17057	kinderbetreuung	The user seeks comprehensive information on childcare, including types of care (institutional vs. family), availability and hours, costs and funding, and legal/regulatory frameworks. They also want evidence and comparisons—especially for Austria, Germany, and the EU—on how childcare provision influences work–family balance, gender equality, and fertility.	A document is relevant if it primarily addresses Kinderbetreuung (child care) as a system or practice—e.g., describing forms of care (Krippe, Kindergarten, Tagesmutter), structural features (opening hours, age limits, group size), legal frameworks, funding/costs, quality, supply-demand statistics, or employer-provided childcare models. Works that analyze how childcare relates to work–family reconciliation, fertility decisions, or gender equality, including cross-country or historical comparisons, are also relevant when childcare is a central variable with concrete data or policy discussion. Examples of strong relevance include Austrian or EU overviews of childcare regulations and utilization, evaluations of corporate childcare initiatives, or reports on user satisfaction and quality standards. Non-relevant items are those that only mention Kinderbetreuung in passing within broader topics (such as the gender pay gap or general household labor) without substantive detail on care provision, policy, or usage, or where the term appears only in an index or brief aside. Edge cases like youth perspectives on ideal care, analyses focused on monetary subsidies for under-6s, or historical narratives remain relevant if they explicitly define and assess childcare arrangements; by contrast, purely methodological notes without findings or pieces that shift away from childcare to unrelated family policy issues would be marginal.
1719	vertrauen	The user seeks an interdisciplinary overview of trust (Vertrauen)—what it is, how it develops and can turn into mistrust, its moral limits, and key types (generalized, interpersonal, institutional). They want theories and empirical findings on determinants and functions of trust in democracy, organizations, social relations, and media, including debates over civil-society vs. institutional mechanisms and measurement (e.g., ALLBUS).	A document is relevant if it substantively examines Vertrauen (trust) as a concept—how it is defined, formed, limited, and how it turns into Misstrauen (mistrust)—using philosophical, sociological, political, or social-psychological frameworks. Strong signals include differentiating types of trust (generalized vs. interpersonal, institutional vs. personal, strategic/rational vs. moral/identity-based), specifying mechanisms that generate trust (e.g., civil society vs. institutional fairness, leadership and organizational culture), and presenting empirical evidence or measures (such as ESS/ALLBUS surveys, media or political trust cases). Analyses that model causal pathways, critique game-theoretic reductions, or show the co-evolution of trust with institutions and networks in democracies are especially relevant. Non-relevant items merely mention “vertrauen” rhetorically, revolve around unrelated meanings (legal trusts, “trusted” computing), or discuss cooperation/management without treating trust as the central analytic variable. Edge cases include work centered on mistrust or deception (still relevant if tied to trust dynamics), bibliographic lists or duplicated abstracts (weakly relevant unless they add analysis), and narrow sectoral studies (youth work, journalism) that count only when they explicitly explain determinants, measurement, and effects of trust.
1743	lebenszufriedenheit	The user is seeking an overview of research on life satisfaction, especially in Germany, including how it is defined, measured, and how it varies across groups. They want evidence on determinants such as religion, income and employment, parenthood, migration background, education setting, region/urban context, physical attractiveness, retirement, and COVID-19, as well as the datasets commonly used (e.g., ALLBUS, SOEP, pairfam, NEPS, SHARE, GEDA).	A document is relevant if it directly analyzes Lebenszufriedenheit (life satisfaction) as a central construct—measured or modeled with surveys, correlations/regressions, or established datasets (e.g., ALLBUS, SOEP, pairfam, NEPS, SHARE). Highly relevant examples include studies on how evangelical faith, parenthood, migration background, physical attractiveness, retirement, pandemic-related shocks, or regional context affect Lebenszufriedenheit, especially when distinguishing general vs. domain satisfactions or linking area-specific satisfaction to overall life satisfaction. Works that focus only on domain-specific satisfaction (job, partnership, income, infrastructure) are relevant only when they explicitly relate those domains to overall Lebenszufriedenheit or use Lebenszufriedenheit as the outcome; otherwise they are non-relevant. Texts using near-synonyms such as subjektives Wohlbefinden, happiness, or the Satisfaction With Life Scale count as relevant when clearly equated with Lebenszufriedenheit, whereas pieces that merely mention the term in passing (e.g., a citation or policy slogan) or discuss customer/service satisfaction are not. Edge cases include capitalization or language variants (Lebenszufriedenheit/lebenszufriedenheit, “life satisfaction”) and population-focused analyses (mothers, immigrants, students) that remain relevant if life satisfaction is central, while duplicates or abstracts listing the term without substantive analysis are only weakly relevant.
