query_id	query	instru_desc	instru_narr
1326	demokratie	The user seeks information on a study of how Germans conceive of democracy and what determines their preferences for democratic decision-making procedures. It examines attitudes toward majority rule versus minority protection, direct democracy, and the role of national pride in democratic stability.	A document is relevant to the query “demokratie” if it substantively discusses democracy as a political system or idea—for example, theories or conceptions of democracy, public preferences over democratic procedures, trade-offs like majority rule versus minority rights, or instruments such as direct democracy. Empirical studies about attitudes toward democracy in Germany, including survey designs, pretests, and methods (e.g., web probing) are relevant when they are applied to democratic topics, as in research on how citizens weigh procedures. Content linking adjacent themes—such as how national pride might affect democratic stability, system acceptance, or civic cohesion—is also relevant when the connection to democracy is explicit. By contrast, pages that only mention “Demokratie” in passing (e.g., a slogan, a footer link, or a bibliography entry), or that use it solely in proper names (e.g., “Demokratische Republik Kongo”) without discussing democratic governance, are not relevant. Edge cases include methodological texts: if they describe survey methods with no democratic substance, they are non-relevant; if those methods are used to probe democratic attitudes or procedures, they are relevant.
13621	kultur	The user seeks information on culture-related constructs and validated measurement tools—acculturation orientations of migrants, attitudes toward outgroups, motivations for intergroup contact, and value scales. They also need methodological guidance for cross-cultural survey research, including defining household size and standardizing/harmonizing socio-demographic variables for comparability.	A document is relevant to the query “kultur” when it directly addresses culture or acculturation—such as intercultural contact, heritage vs host culture (Herkunftskultur/Aufnahmekultur), intergroup attitudes toward foreign cultures, or values framed as the basis of any culture. Concrete matches include scales like AKOrM (adapted from the Vancouver Index of Acculturation), inventories measuring motives for contact with people from other cultures, IRV value measures that situate values within cultural frameworks, and discussions of harmonizing survey variables across different cultures or how household definitions vary between cultures. Content is non-relevant when “Kultur” appears only incidentally (e.g., in a ministry’s name) or in sections unrelated to cultural themes (e.g., mathematical modeling self-efficacy) unless explicitly tied to cultural context; purely technical psychometric details without a cultural lens also reduce relevance. Edge cases include compound or inflected forms (Kulturen, interkulturell, Herkunftskultur) which are strong positives, versus uses of “culture” in non-social senses (e.g., laboratory cultures) that are false positives. Generic discussions of demographic standardization are only tangential unless they explicitly address cross-cultural comparability.
1537	social media	The user seeks expert, research-based guidance on social media within computational social science. They want methods and ethical insights for analyzing text and images, collecting and linking web/mobile behavioral data, and addressing misinformation, fairness, vulnerable communities, and impacts on democracy.	A document is relevant if it explicitly examines social media platforms, behaviors, data, or effects—for example, interviews about detecting misinformation on social platforms, analyses of visual content in political online communication, linking survey responses to social media traces, or reviews of social media’s impact on democracy. Guides or methods (e.g., web tracking, mobile data collection) are relevant when they are applied to studying social media use or extracting social media content, but are peripheral if they focus on general online behavior without a platform link. Content about vulnerable communities’ online communications or information quality is relevant when it analyzes their activity on social platforms. By contrast, sections centered on psychometric scales and questionnaires about social policy, workplace stress, social trust, or left-right ideology without a social media component are non-relevant. Edge cases include “media-based empathy” or algorithmic fairness pieces: they qualify only if they specify social media contexts or datasets, not if they discuss media or socio-technical systems in the abstract.
15423	jugendliche	The user seeks an overview of validated German-language questionnaires and short psychometric scales for children and adolescents across diverse constructs (e.g., family climate, delinquency, identity, physical activity, growth mindset, self-efficacy, personality, empathy, need for cognition, impostor), including item content, subscales, translations, and evidence of reliability, validity, and cognitive pretesting.	A document is relevant if it centers on adolescents (Jugendliche) as the target group—typically ages ~10–19—and explicitly discusses their behaviors, traits, attitudes, or measurement instruments (e.g., scales on delinquency, family climate, identity, physical activity, growth mindset, self-efficacy, Big Five youth versions, authoritarian attitudes, media-based empathy, Need for Cognition Teens, or impostor self-concept). Studies and pretests using adolescent samples, including German-language tools or translations (e.g., Turkish/Arabic for Muslim adolescents in Germany), are highly relevant. A document is non-relevant if it focuses exclusively on adults or only on younger children, or if “jugendliche” appears only tangentially (such as marketing phrases like “jugendliche Haut” or stylistic uses) without substantive youth content. Edge cases: materials covering “Kinder und Jugendliche” are relevant if adolescents are a substantial subgroup or results are reported for them; work on “young adults” is relevant only if it includes or directly compares adolescent samples. Legal, historical, or theoretical mentions of “Jugendliche” without empirical or topical focus on adolescent populations are generally less relevant.
1552	religiosität	The user is looking for a German-language measure of religiosity—the Religious Commitment Scale—and its five items for use in clinical research. They also seek related measures of parental behavior (supportive care and religious socialization) to examine links to norms, values, and in-/out-group orientations.	A document is relevant if it directly addresses Religiosität (religiosity) as an attitude or commitment toward religion and its institutions, especially if it discusses measurement (e.g., the Religious Commitment Scale), dimensions of religious commitment, or links religiosity to socio-cultural norms and ingroup orientations. Content describing a German version of such a scale, clinical or psychological research on religiosity, or parental socialization dimensions related to religious upbringing (e.g., “Erziehung zur Religion”) is highly relevant. Documents that only mention general parenting warmth without connecting it to parental religiosity, or that discuss religion theologically without addressing individual religiosity/commitment or its assessment, are less relevant. Edge cases include papers that use religiosity merely as a control variable, texts focusing on “spirituality” without explicit religiosity measures, or mentions of religiosity limited to citations—these would be only marginally or non-relevant unless they provide substantive, measurable treatment of religiosity.
15721	job	The user is seeking guidance on how to capture and code job-related data in surveys. They want validated measures for job satisfaction/employee experience and transparency, plus procedures, software, and classification schemes (KldB 2010, ISCO-08) to code occupations and derive status/prestige indices like ISEI, SIOPS, and ISEC.	A document is relevant to the query “job” if it discusses employment or occupations in a substantive way, such as measuring job satisfaction or employee experience, describing occupational classifications (e.g., ISCO-08, KldB 2010), or explaining how job-related data are coded and used in analyses (ISEI, SIOPS, ISEC). For example, studies presenting psychometric scales of job satisfaction or engagement, or guides to coding job titles into standardized occupation categories, directly answer the query’s intent. It may also be relevant when adjacent constructs (like organizational transparency) are empirically linked to job satisfaction or workplace outcomes. Non-relevant uses include “Job” as a biblical figure, “job” as a computing batch process, or casual uses like “did a good job” that don’t pertain to employment. Edge cases include documents that use “occupation,” “role,” or “position” without the word “job” (still relevant), versus papers on transparency or surveys that only mention “job” in passing without analyzing employment constructs (likely not relevant).
15758	job satisfaction	The user is seeking validated instruments and survey scales to assess job satisfaction and related employee experience constructs, including their dimensions (e.g., colleagues, supervisor, work conditions, pay) and evidence of reliability and validity for use in organizational or social surveys.	A document is relevant if it directly measures, analyzes, or explains job satisfaction in the workplace, for example multi-item job satisfaction scales with subdimensions such as colleagues, supervisor, pay, development, working conditions, and activity, or broader instruments like the Employee Experience Questionnaire that explicitly includes a job satisfaction construct with validated psychometrics. Studies linking work characteristics to job satisfaction—e.g., task variety, autonomy (freedom of decision), mental job requirements, or organizational transparency dimensions tied to job satisfaction—are also relevant. Edge cases include instruments where job satisfaction is one facet among others (employee experience or flourishing indices), occupation-specific measures (e.g., teachers’ occupational satisfaction with pay and working atmosphere), or language adaptations/validations that are used to assess job satisfaction in organizational contexts. Non-relevant content focuses on satisfaction outside the job domain (general life or study satisfaction, political system satisfaction), occupational coding/classification (ISCO/KldB) without attitudinal outcomes, or personality/affect scales (optimism, cross-cultural loss) unless they explicitly examine effects on job satisfaction. Similarly, measures of customer orientation or customer satisfaction are only tangentially relevant unless they connect to employees’ job satisfaction.
1635	depression	The user is seeking information on assessing depression in students using questionnaire-based scales—such as the Giessen Test grounded in Beck’s depression model—to screen for psychosocial impairment and understand links with procrastination and social factors.	A document is relevant to the query “depression” if it discusses depressive symptoms, diagnosis, theory, or measurement—for example, describing vegetative symptoms, depressive mood, or scales grounded in the Beck depression model, as with the Giessen Test short scales measuring “depressivity” and psychological impairment. Materials that present validated screening tools, psychosocial constructs tied to depression (e.g., social rejection, unsteadiness), or preventive interventions for depression count as relevant even if the focus is on assessment rather than treatment. Content that only mentions related behaviors like procrastination is relevant if it explicitly links them to depressive affect or cognitions (e.g., “depressive moods,” irrational thoughts) but not if procrastination is discussed without a depression connection. Non-relevant items are those using “depression” in non-mental-health senses (economic or geological depression) or that list “depression” as a passing term without substantive detail. Edge cases include texts using near-synonyms (“depressivity”) or focusing on comorbid psychosomatic/vegetative complaints; these remain relevant when they are framed within a depression model or screening context.
16523	klimaschutz	The user is looking for information on a University of Hamburg study in climate protection that tests how the complexity of intervention texts influences intrinsic motivation using a field experiment. They also want details on the cognitive pretesting of the baseline information text via telephone interviews to ensure comprehension and decision-making.	A document is relevant to the query “klimaschutz” if it substantively addresses climate protection—such as mitigation policies, interventions, programs, or research on behaviors and communication that aim to reduce emissions—even when framed through methodology (e.g., field experiments, cognitive pretests) so long as the focus remains on Klimaschutz actions or decisions. German-language content is fully relevant, and related terminology like mitigation, CO2 reduction, emissions targets, or institutional initiatives (e.g., university or government projects) also qualifies. Non-relevant items include pages that only mention “Klimaschutz” in passing (navigation labels, event lists), texts about climate change broadly without protective measures, or cases where the term appears in a name without environmental context. Edge cases include methodological studies on complexity or motivation that never tie findings to climate-protection behaviors; these are borderline unless they explicitly connect to Klimaschutz interventions or decision-making. The provided paragraph is relevant because it describes a research project testing how information complexity affects decisions in a climate-protection intervention and outlines its cognitive interview pretesting.
1719	vertrauen	The user seeks information on German social research and survey measures of trust (Vertrauen) across domains—interpersonal, institutional, leadership, and self-presentation—including validated scales (e.g., KUSIV3) and pretest methodologies. They want to understand how trust is measured and how factors like COVID-19, media use, and survey methods influence trust levels.	A document is relevant to the query “vertrauen” if it substantively discusses trust as a concept or measure, for example describing interpersonal trust scales like KUSIV3, trust as part of leader–employee relationship quality, or trust in politics, science, and survey results. Content that operationalizes or evaluates trust or mistrust through items, subscales, or pretest findings—such as items capturing Vertrauen/Misstrauen toward others, trust in bodily self-presentation, or links between media use and social trust—is also clearly relevant. Materials where trust is only a peripheral mention within broader topics (e.g., panels on partnership status or dietary styles) are borderline unless they explicitly analyze trust or report measurements or effects tied to it. Non-relevant content would focus on unrelated constructs (e.g., communication access) without connecting them to trust, or use “Vertrauen” only in passing or as boilerplate. Edge cases include documents centered on Misstrauen (mistrust) without the word Vertrauen—which should still be treated as relevant—and instances where trust is bundled within composite indices; conversely, occurrences in titles or metadata without analytic content would not qualify.
1743	lebenszufriedenheit	The user wants German-language, validated measures and research for assessing life satisfaction and broader subjective well-being, including item wording, response scales, and validation. This includes the German SWLS, the SOEP single-item L1, the Human Flourishing Scale (FI/SFI), and studies on ranking-based measures and DDR-specific surveys.	A document is relevant if it directly measures, validates, or conceptually defines Lebenszufriedenheit (life satisfaction), for example by presenting or testing scales like the SWLS (Diener et al.), the SOEP single-item L-1 with its 11-point response options, RankMe’s ranking approach, or German translations/psychometrics and cognitive pretests (web probing, telephone interviews). It is also relevant if broader wellbeing instruments (e.g., the Human Flourishing Scale with FI/SFI) explicitly include life satisfaction as a dimension or report findings about it, or if it discusses the affective vs. cognitive evaluative components of life satisfaction in line with Diener. Partially relevant cases include studies where life satisfaction is one of several outcomes (e.g., DDR participation surveys that also ask about Lebenszufriedenheit) or where related constructs like Lebensfreude/Wohlbefinden are covered only insofar as they tie back to life satisfaction measurement. Non-relevant documents focus on other satisfactions (job/customer satisfaction), general political engagement without life satisfaction content, or mention the term only in passing without items, methods, or results. Edge cases include purely theoretical happiness narratives without link to measurement, or flourishing work that omits explicit life satisfaction indicators—these would be weakly or not relevant.
1817	mediennutzung	The user is seeking research on media use and its psychological correlates—specifically how media-based empathy is conceptualized and measured (MBE scale) and how media use and video game immersion relate to empathy, aggression, and cyberbullying across age groups.	A document is relevant to the query “mediennutzung” when it treats media use as a core concept—defining it, measuring it, or analyzing its patterns, contexts, or effects—rather than merely naming it. The paragraph is relevant because it operationalizes media-related behaviors (e.g., mediale Anteilnahme and immersion in video games) and explicitly ties them to Mediennutzung via construct validity, with evidence across youth and adult samples. A document would be non-relevant if it focuses on empathy, aggression, or cyberbullying without examining media-use behavior, frequency, platforms, or if “Mediennutzung” appears only as a passing correlate or control. Edge cases include psychometric studies that reference Mediennutzung solely to validate another scale (tangentially relevant) or pieces centered on a single mode like gaming immersion, which is a form of media use but may not satisfy searches for broad usage patterns or statistics.
1825	glaubwürdigkeit	The user is seeking information on “credibility” (Glaubwürdigkeit) in a social-policy context, specifically how the perceived authenticity/credibility of asylum applications and related justice ideologies are conceptualized and measured in surveys across European countries.	A document is relevant if it explicitly addresses “Glaubwürdigkeit” (credibility) as a concept, especially in contexts like evaluating the authenticity of asylum applications, measuring perceived credibility, or discussing why certain beliefs or ideologies are seen as credible by stakeholders. For example, a study that introduces a survey instrument with items capturing perceptions of the authenticity/credibility of typical asylum claims, or that argues justice ideologies possess high credibility among adherents, directly matches the query. It is less relevant if it focuses on justice ideologies or pension policy without linking them to credibility, or if “Glaubwürdigkeit” appears only as a passing word with no analytical role. Edge cases include documents using near-synonyms (Echtheit, Vertrauenswürdigkeit), negations (Unglaubwürdigkeit), or domain-specific uses like “credible commitment” or actuarial “credibility” that may be relevant only if the text clearly concerns credibility in the intended sense. Mentions of “Glaubwürdigkeit” in unrelated contexts (e.g., a brief citation note or a tangential example) would be marginally relevant at best.
18263	mitarbeiter	The query seeks German-language measurement instruments and literature on employee-related constructs—especially supervisor–employee communication quality, leadership/LMX, organizational commitment, acculturation, job performance, and customer orientation—along with guidance on interviewer recruitment, training, and quality assurance to minimize interviewer effects.	A document is relevant if it centers on employees (Mitarbeiter) and closely related constructs, explicitly using the term or clear variants such as MitarbeiterInnen, Mitarbeitende, or compounds like Mitarbeiterbindung/Mitarbeiterbefragung. Examples of strong relevance include content on leader–employee communication quality, LMX7 from the employee perspective, the OCQ measuring employees’ affective organizational commitment, and customer orientation of service employees. Synonyms or role labels like Untergebene, Beschäftigte, or “employee–supervisor” relationship measures also count, even when framed through leadership or exchange theory. Non-relevant or weakly relevant items are those where “Mitarbeiter” appears only incidentally (e.g., in citations, staff directories) or where the focus is unrelated (e.g., a general acculturation model or interviewer training that mentions staff but is not about employees as a subject). Edge cases include pages focused mainly on supervisors with minimal employee context, gender-inclusive spellings (Mitarbeiter:innen) that should still match, and English-only “employee” content that is topically relevant but may not be retrieved by a strict German keyword match.
1851	education	The user seeks guidance on how to conceptualize, operationalize, and code educational attainment in German and cross-national surveys, including handling migrants’ foreign qualifications and applying classification schemes like CASMIN, ISCED, or years of education. They also want pointers to validated survey instruments for educational attitudes, aspirations, competencies, and related constructs used in large-scale studies.	This document is relevant to the query “education” because it directly defines and operationalizes education as highest attainment and details how to measure and code it in surveys, including cross-national schemes like CASMIN and ISCED, derivation of years of education, and the handling of migrant qualifications. Highly relevant examples include discussions of mapping German credentials to ISCED/CASMIN, solutions used in SOEP and NEPS, and guidance on choosing between linear, ordinal, or categorical education variables. Content that distinguishes education from competencies or fields of study, and analyses of returns to education, inequality, and educational aspirations/attitudes (when tied to decisions and outcomes) also counts as relevant. However, sections that introduce general psychometric scales (e.g., grit, curiosity, SDO, digital readiness, informal workplace learning) are only tangential unless they explicitly predict or are designed for educational settings or outcomes. Edge cases include documents that merely mention “education” without measurement or policy substance (non-relevant) versus those providing long-term, cross-survey comparability for education variables (e.g., German Microcensuses with ISCED/CASMIN), which are strongly relevant.
18589	migranten	The query seeks an overview of how acculturation and educational attainment are measured for migrants in German surveys. It focuses on instruments like AKOrM (adapted from the Vancouver Index of Acculturation), coding strategies for foreign qualifications, alternative response formats and tools, implementations in SOEP and NEPS, and remaining interpretive limitations.	A document is relevant if it explicitly discusses migrants (e.g., “Migrantinnen und Migranten,” “migrants”) and focuses on their experiences, measurement, or integration, such as acculturation scales, education credentials, or survey methodology. The given paragraph is highly relevant: it repeatedly addresses migrants, details the AKOrM acculturation framework (a German adaptation of the Vancouver Index of Acculturation), and examines how to measure education for people with foreign degrees in German surveys like SOEP and NEPS. Documents about “migration” that do not concern people (e.g., animal migration or internal firm mobility) or that only mention “Migranten” in passing (like a citation) are non-relevant. Edge cases include gendered/plural variants (Migrant, Migranten, Migrantinnen), related labels (refugees, asylum seekers), and German/English terminology; these are relevant if they clearly refer to human migrants in a comparable context. Conversely, content that uses “Migration” as a general methodological term, places the keyword only in metadata, or discusses measurement tools without linking them to migrants should be treated as non-relevant.
18995	migrant	The user is looking for guidance on how to measure and code migrants’ educational attainment and acculturation in surveys, particularly in Germany. They seek approaches for handling foreign qualifications (e.g., classifications, years-of-education, response categories, database tools) and examples from SOEP/NEPS, along with limitations and interpretation issues.	A document is relevant if it substantively addresses migrants/immigrants, especially topics like acculturation, measurement of educational attainment, and survey methodology in contexts such as Germany. Strong matches include discussions of acculturation scales (e.g., the Vancouver Index, AKOrM), how surveys code foreign qualifications (German school credentials vs international classifications), derivation of years of education, and applications in datasets like SOEP or NEPS. It is not relevant if “migrant” appears only in passing, is used in an unrelated sense (e.g., migrant birds or data migration), or if education coding is discussed without linking to migrant populations. Edge cases: documents using synonymous terms (immigrants, refugees, asylum seekers) or addressing host-culture adaptation without the exact word “migrant” can still be relevant; material on internal migrants or migrant workers is only partly relevant unless it tackles comparable measurement issues (e.g., credential comparability). German-language sources on these survey tools remain relevant, while mere mentions of SOEP/NEPS without a migrant focus are marginal.
20168	muslime	The user is seeking information about a German research project that cognitively pretested a multilingual survey on religious identification, Islamist fundamentalist attitudes, and experiences with extremism among Muslim adolescents in Germany, including its methods and translations.	The query “muslime” is a German plural term for Muslims, so documents are relevant when they explicitly discuss Muslims as a group or individuals, their communities, attitudes, demographics, or experiences (including gendered/plural forms like “Musliminnen und Muslime”). The provided paragraph is relevant because it focuses on Muslim youth in Germany and examines their religious identification and attitudes, even if the specific angle is on Islamist and fundamentalist views within that population. Content that only discusses “Islam” abstractly without referring to Muslims, or that treats extremism generically without specifying Muslim groups, would be less relevant, as would texts where “Muslime” appears only in a citation, keyword list, or translation note. Edge cases include morphological variants and capitalization in German (Muslime/Musliminnen/Muslimen), related languages (e.g., “Muslims” in English), and false positives like references to “muslin” (the fabric) or brand names that coincidentally contain the string.
