query_id	query	item_type	result_set
54995	arbeitgeber	instruments_tools	pretest-13, pretest-20, pretest-23, pretest-3, pretest-52, pretest-54, pretest-59, zis10, zis142, zis230, zis249, zis304, zis330, zis36, zis9
54995	arbeitgeber	variables	exploredata-ZA2140_VarV526, exploredata-ZA4258_VarV226, exploredata-ZA4259_VarV226, exploredata-ZA5200_VarV120, exploredata-ZA5201_VarV120, exploredata-ZA5274_Varpc02, exploredata-ZA5431_VarV164, exploredata-ZA5432_VarV164, exploredata-ZA6888_VarV112, exploredata-ZA7492_VarV117
55130	arbeitsbedingungen	publication	cews-2-614142, cews-2-626569, gesis-ssoar-18379, gesis-ssoar-1937, gesis-ssoar-19822, gesis-ssoar-21923, gesis-ssoar-21941, gesis-ssoar-21994, gesis-ssoar-28764, gesis-ssoar-31445, gesis-ssoar-34036, gesis-ssoar-34398, gesis-ssoar-35793, gesis-ssoar-36790, gesis-ssoar-38938, gesis-ssoar-39250, gesis-ssoar-41230, gesis-ssoar-41252, gesis-ssoar-42646, gesis-ssoar-42647, gesis-ssoar-43658, gesis-ssoar-44942, gesis-ssoar-45340, gesis-ssoar-46036, gesis-ssoar-47122, gesis-ssoar-48908, gesis-ssoar-48931, gesis-ssoar-53667, gesis-ssoar-53698, gesis-ssoar-54009, gesis-ssoar-56637, gesis-ssoar-57065, gesis-ssoar-58368, gesis-ssoar-61827, gesis-ssoar-62590, gesis-ssoar-63186, gesis-ssoar-65656, gesis-ssoar-65735, gesis-ssoar-66870, gesis-ssoar-67341, gesis-ssoar-67682, gesis-ssoar-67986, gesis-ssoar-70607, gesis-ssoar-70995, gesis-ssoar-71195, gesis-ssoar-71199, gesis-ssoar-71202, gesis-ssoar-71231, gesis-ssoar-71322, gesis-ssoar-72645, gesis-ssoar-72651, gesis-ssoar-74327, gesis-ssoar-74570, gesis-ssoar-77173, gesis-ssoar-79975, gesis-ssoar-80111, gesis-ssoar-81075, gesis-ssoar-83201, gesis-ssoar-84594, gesis-ssoar-85831
55130	arbeitsbedingungen	research_data	SDN-10.7802-2451, ZA1790, ZA2033, ZA2565, ZA2789, ZA2830, ZA2927, ZA3090, ZA3097, ZA3098, ZA3099, ZA3100, ZA3101, ZA3207, ZA3351, ZA3379, ZA3612, ZA3662, ZA3813, ZA3920, ZA3940, ZA3957, ZA3968, ZA4153, ZA4350, ZA4586, ZA4610, ZA4611, ZA4612, ZA4613, ZA4655, ZA4661, ZA4741, ZA4749, ZA4750, ZA4804, ZA4820, ZA5065, ZA5066, ZA5081, ZA5105, ZA5111, ZA5112, ZA5113, ZA5117, ZA5174, ZA5177, ZA5193, ZA5206, ZA5250, ZA5252, ZA5274, ZA5275, ZA5352, ZA5356, ZA5545, ZA5578, ZA5583, ZA5593, ZA5594, ZA5634, ZA5657, ZA5664, ZA5665, ZA5666, ZA5667, ZA5672, ZA5674, ZA5675, ZA5776, ZA5843, ZA5869, ZA5895, ZA5909, ZA5911, ZA5920, ZA5941, ZA6243, ZA6249, ZA6265, ZA6266, ZA6427, ZA6602, ZA6612, ZA6616, ZA6638, ZA6657, ZA6680, ZA6709, ZA6735, ZA6745, ZA6757, ZA6759, ZA6762, ZA6763, ZA6770, ZA6799, ZA6864, ZA6865, ZA6964, ZA7574, ZA7584, ZA7585, ZA7587, ZA7589, ZA7603, ZA7622, ZA7646, ZA7652, ZA7668, ZA7673, ZA7686, ZA7687, ZA7688, ZA7689, ZA7690, ZA7691, ZA7697, ZA7735, ZA7745, ZA7760, ZA7762, ZA7763, ZA7764, ZA7785, ZA7796, ZA7819, ZA7822, ZA7828, ZA7841, ZA7878, ZA7900, ZA7949, ZA8642, ZA8644, ZA8647, ZA8649, ZA8652, ZA8680, ZA8687, ZA8688, ZA8689, ZA8691, ZA8692, ZA8693, ZA8695, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de466978, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de521327, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de636143, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737291, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737322, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737323, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737324, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737466, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737799
55130	arbeitsbedingungen	instruments_tools	gml-10, gml-4, pretest-23, pretest-36, pretest-38, pretest-4, pretest-54, pretest-59, pretest-60, pretest-69, pretest-75, pretest-96, pretest-97, zis1, zis13, zis171, zis2, zis21, zis23, zis249, zis29, zis3, zis32, zis5, zis7, zis78, zis79, zis80, zis90
55130	arbeitsbedingungen	variables	exploredata-ZA6612_VarQ2new_3_slice, exploredata-ZA6612_VarQ4_10_slice, exploredata-ZA6638_VarF10_8, exploredata-ZA7673_VarQ7_2, exploredata-ZA7697_VarF15_2, exploredata-ZA7796_VarF3_1, exploredata-ZA7796_VarF3_15, exploredata-ZA7796_VarF3_16, exploredata-ZA7796_VarF3_99, exploredata-ZA7796_VarF4_5, exploredata-ZA7796_VarF4_7, missy-mz-2006-ef1027
55226	arbeitsbelastung	publication	gesis-bib-104231, gesis-bib-130049, gesis-solis-00257697, gesis-ssoar-10764, gesis-ssoar-23592, gesis-ssoar-25502, gesis-ssoar-32818, gesis-ssoar-34082, gesis-ssoar-44192, gesis-ssoar-45769, gesis-ssoar-45967, gesis-ssoar-48908, gesis-ssoar-48931, gesis-ssoar-53595, gesis-ssoar-53626, gesis-ssoar-53739, gesis-ssoar-53754, gesis-ssoar-53934, gesis-ssoar-54068, gesis-ssoar-54961, gesis-ssoar-56190, gesis-ssoar-57008, gesis-ssoar-57585, gesis-ssoar-64797, gesis-ssoar-66338, gesis-ssoar-66339, gesis-ssoar-71199, gesis-ssoar-71202, gesis-ssoar-72651, gesis-ssoar-73014, gesis-ssoar-73018, gesis-ssoar-79820, literaturpool-1e2180bc2459556bebcd9c5b2fe66a1d
55226	arbeitsbelastung	research_data	SDN-10.7802-1405, ZA0980, ZA1360, ZA1447, ZA1481, ZA1736, ZA1737, ZA1738, ZA1887, ZA2033, ZA2145, ZA2565, ZA2610, ZA3060, ZA3379, ZA3626, ZA3813, ZA4055, ZA4153, ZA4227, ZA4266, ZA4267, ZA4568, ZA4654, ZA4655, ZA4661, ZA4820, ZA5185, ZA5657, ZA6385, ZA6746, ZA6765, ZA7574, ZA8642, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de287736, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de287737, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de428593, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de431617, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de431623, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de431624, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de431627, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de463866, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de463867, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de647980, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737291, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737322, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737323, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737324, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737466, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737799, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de8536
55226	arbeitsbelastung	instruments_tools	pretest-23, pretest-38, pretest-48, pretest-54, pretest-60, zis14, zis161, zis176, zis177, zis2, zis204, zis268, zis3, zis30, zis31, zis32, zis69, zis70
55226	arbeitsbelastung	variables	exploredata-ZA6745_VarF13_3, exploredata-ZA6746_VarE13_3
56202	arbeitsbelastungen	publication	cews-2-614142, cews-2-755372, cews-2-806525, gesis-bib-104231, gesis-solis-00169623, gesis-solis-00257697, gesis-solis-00288321, gesis-ssoar-10025, gesis-ssoar-10093, gesis-ssoar-10764, gesis-ssoar-11440, gesis-ssoar-11646, gesis-ssoar-11912, gesis-ssoar-16448, gesis-ssoar-16480, gesis-ssoar-16659, gesis-ssoar-16785, gesis-ssoar-17268, gesis-ssoar-17564, gesis-ssoar-17831, gesis-ssoar-17907, gesis-ssoar-18601, gesis-ssoar-18786, gesis-ssoar-18870, gesis-ssoar-19480, gesis-ssoar-19483, gesis-ssoar-19568, gesis-ssoar-21941, gesis-ssoar-23388, gesis-ssoar-23554, gesis-ssoar-23722, gesis-ssoar-24418, gesis-ssoar-24710, gesis-ssoar-25502, gesis-ssoar-25823, gesis-ssoar-28302, gesis-ssoar-28306, gesis-ssoar-30926, gesis-ssoar-31288, gesis-ssoar-31445, gesis-ssoar-33080, gesis-ssoar-33478, gesis-ssoar-33770, gesis-ssoar-34281, gesis-ssoar-34749, gesis-ssoar-3652, gesis-ssoar-36859, gesis-ssoar-37000, gesis-ssoar-37544, gesis-ssoar-38022, gesis-ssoar-38180, gesis-ssoar-38716, gesis-ssoar-41555, gesis-ssoar-42697, gesis-ssoar-43938, gesis-ssoar-46092, gesis-ssoar-47614, gesis-ssoar-47697, gesis-ssoar-53326, gesis-ssoar-56635, gesis-ssoar-57008, gesis-ssoar-5796, gesis-ssoar-6739, gesis-ssoar-6816, gesis-ssoar-6818, gesis-ssoar-9994, gesis-ssoar-9995, gesis-ssoar-9996, literaturpool-347cd40061635db92a592ee80c314257, literaturpool-a9d2f80afc918e3c865da8f06d231afb
56202	arbeitsbelastungen	research_data	ZA2033, ZA2145, ZA3379, ZA3626, ZA4055, ZA4153, ZA4266, ZA4820, ZA5657, ZA7574, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737291, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737322, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737323, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737324, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737466, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de737799
56202	arbeitsbelastungen	instruments_tools	pretest-48
56202	arbeitsbelastungen	variables	exploredata-ZA1086_Varv27, exploredata-ZA1086_Varv29, exploredata-ZA1086_Varv497, exploredata-ZA1086_Varv556, exploredata-ZA1086_Varv77
56089	arbeitsleistung	publication	cews-2-665128, cews-2-666242, cews-2-668000, cews-2-675274, cews-2-678583, cews-2-684121, cews-2-736105, cews-2-802592, cews-2-807941, gesis-solis-00557966, gesis-ssoar-53730, gesis-ssoar-55626, gesis-ssoar-56190, gesis-ssoar-56210, gesis-ssoar-56718, gesis-ssoar-56929, gesis-ssoar-57213, gesis-ssoar-57292, gesis-ssoar-57447, gesis-ssoar-58165, gesis-ssoar-76621
56089	arbeitsleistung	research_data	ZA1346, ZA2310, ZA2560, ZA2561, ZA2789, ZA3173, ZA3207, ZA3430, ZA3525, ZA3813, ZA3989, ZA5400, ZA6081, ZA6084, ZA6128, ZA6130, ZA6195, ZA6202, ZA6207, ZA6208, ZA6209, ZA6210, ZA6211, ZA6212, ZA6330, ZA6354, ZA6405, ZA6483, ZA6484, ZA6485, ZA6667, ZA6669, ZA6871, ZA6872, ZA8579, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de425914, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de4604, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de6035, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de6039, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de6040, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de6323
56089	arbeitsleistung	instruments_tools	pretest-47
56089	arbeitsleistung	variables	exploredata-ZA0823_VarV192, exploredata-ZA1086_Varv218, exploredata-ZA1086_Varv219, exploredata-ZA1086_Varv220, exploredata-ZA1086_Varv221, exploredata-ZA1086_Varv692, exploredata-ZA1086_Varv693, exploredata-ZA1086_Varv694, exploredata-ZA3432_VarBN26A9, exploredata-ZA6638_VarF20_1
3125	arbeitslosigkeit	publication	bibsonomy-Moehring2020, cews-2-811394, gesis-bib-120833, gesis-bib-135437, gesis-bib-86674, gesis-ssoar-11884, gesis-ssoar-11886, gesis-ssoar-20162, gesis-ssoar-23615, gesis-ssoar-300936w050, gesis-ssoar-31864, gesis-ssoar-34249, gesis-ssoar-34546, gesis-ssoar-35479, gesis-ssoar-35536, gesis-ssoar-36092, gesis-ssoar-37439, gesis-ssoar-37440, gesis-ssoar-37972, gesis-ssoar-38168, gesis-ssoar-38669, gesis-ssoar-39255, gesis-ssoar-39782, gesis-ssoar-39783, gesis-ssoar-40803, gesis-ssoar-40810, gesis-ssoar-41126, gesis-ssoar-41259, gesis-ssoar-42014, gesis-ssoar-43020, gesis-ssoar-4452, gesis-ssoar-46004, gesis-ssoar-47364, gesis-ssoar-47437, gesis-ssoar-48294, gesis-ssoar-49485, gesis-ssoar-51768, gesis-ssoar-51824, gesis-ssoar-54919, gesis-ssoar-56577, gesis-ssoar-57291, gesis-ssoar-57527, gesis-ssoar-59361, gesis-ssoar-61405, gesis-ssoar-61536, gesis-ssoar-62630, gesis-ssoar-62632, gesis-ssoar-64422, gesis-ssoar-65201, gesis-ssoar-66968, gesis-ssoar-67108, gesis-ssoar-69053, gesis-ssoar-69153, gesis-ssoar-69242, gesis-ssoar-69847, gesis-ssoar-72639, gesis-ssoar-72843, gesis-ssoar-72969, gesis-ssoar-73353, gesis-ssoar-73482, gesis-ssoar-73615, gesis-ssoar-73628, gesis-ssoar-73911, gesis-ssoar-74503, gesis-ssoar-78438, gesis-ssoar-78963, gesis-ssoar-79412, gesis-ssoar-84124, gesis-ssoar-85211, gesis-ssoar-86201, gesis-ssoar-86874, gesis-ssoar-9921, gris-publication-1361, gris-publication-1362, gris-publication-1363, gris-publication-1381, gris-publication-72o4l2k0ljh0, literaturpool-1a49c6411b5999184b45daf882165e39, literaturpool-3a2c4aa6f2b93b00172eef33f0240dd4, literaturpool-91c591376485d9d768d4a9f192681011
