query_id	query	research_desc	research_narr
1326	demokratie	The user seeks survey datasets and studies on democracy—primarily in Germany—covering evaluations of democratic performance, party preferences, institutional trust, populist attitudes, EU integration, and civic participation, with rich demographic detail. The resources span public and elite samples and include cross-national modules (e.g., CSES) to analyze attitudes and voting behavior over time.	A document is relevant if it substantively treats democracy (Demokratie) as a system or value—examining satisfaction with democracy, democratic principles and rights, institutional trust, the functioning of the political system, or citizens’/elites’ attitudes toward it. Examples include surveys assessing the Grundgesetz, links between democracy and the social market economy, preferences for representative versus direct democracy, fears and threats to democracy, EU integration and federalism as they affect democratic governance, or how populism shapes attitudes and voting in democracies. Documents are non-relevant if they only name-check “Demokratie,” list demographics without connecting them to democratic attitudes, or focus on unrelated topics (e.g., pure economics, lifestyle, or sports) with no democracy analysis. Edge cases include multi-topic datasets where democracy is one module—these are relevant if that module is substantive; historical comparisons (Weimar, Nationalsozialismus) or party preference data are relevant only when tied to democratic norms, performance, or satisfaction. German compounds such as Demokratiezufriedenheit qualify, and cross-national studies of “new democracies” or elite interviews are relevant when they analyze implications for democratic development, quality, or behavior.
13621	kultur	The user is seeking research datasets and survey information about culture and cultural participation. Topics span Sorbian culture in Lusatia and comparative public-opinion studies on cultural values, EU relations and cooperation, institutional trust, immigration and prejudice, media use, and related demographics.	A document is relevant to the query “kultur” if it substantively discusses culture, such as customs, festivals, language use, cultural policy, arts participation, heritage, or cultural institutions. Examples include material on Sorbian customs and language in Lusatia, attendance at theaters or cinemas, preferred venues for cultural events, EU-related cultural exchange, or analyses of “political culture” and “kulturelle Werte.” Statistical surveys or datasets are also relevant when they contain dedicated sections on culture and the arts (e.g., cultural activities, media habits, institutions, funding, or attitudes toward culture), even if embedded among broader topics. A document is non-relevant when “kultur” appears only incidentally or in an unrelated sense (e.g., biological cultures, agriculture, or a passing mention in a list where culture is not treated in depth). Edge cases to include as relevant are German compounds and variants like Kulturveranstaltungen, kulturell, Kultur und Kunst, and politische Kultur, as well as English or other-language equivalents of “culture.”
14255	konsum	The user is seeking resources on “Konsum” (consumption) in Germany, including datasets and studies on historical private income/consumption time series, consumer and media behavior, and substance use (alcohol, tobacco, drugs, medications). They also want research on sustainable consumption (SDG 12) and micro-level analyses such as household Christmas spending.	A document is relevant if it contains the German term “Konsum” or clear compounds and inflections that include it, such as privater Konsum (macro consumption), Konsumverhalten, Alkoholkonsum, Tabakkonsum, Drogenkonsum, or nachhaltiger Konsum, especially when providing measures, time series, surveys, or analyses (e.g., private consumption indices 1851–1913 or CATI surveys on SDG 12 consumer behavior). Studies on consumer lifestyles, brand consciousness, media consumption, or household expenditure that explicitly use “Konsum-” compounds also match the query. Documents are non-relevant if they discuss adjacent topics (income, health, or media use) without mentioning “Konsum,” or if they only use synonyms like Verbrauch/Verbraucherverhalten without the keyword. Edge cases include “Konsum” as a proper noun (retail co-ops like Konsum Leipzig), archaic or variant forms (Konsumtion/Consum), or hits limited to metadata or classification codes; these may be marginally relevant depending on the search’s literal vs. semantic intent.
1537	social media	The user is seeking empirical studies and datasets on social media use—its frequency, platforms, purposes, and user attitudes—and its societal and political impacts. Focus areas include language and identity, political information behavior, hate speech and disinformation, media trust, and social cohesion, primarily in Germany with some cross-national comparisons, including details on methods and demographics.	A document is relevant to the query “social media” when it substantially discusses social networking platforms, their use, behaviors, impacts, or policies—for example, surveys of intensive social media users, frequency of use of Facebook/Instagram/Twitter/YouTube/WhatsApp, political information behavior on social networks, hate speech, regulation, or social media strategies and follower analytics for blogs/podcasts. Content on scientists’ use of Web 2.0 tools (e.g., Twitter, wikis, Mendeley, Zotero), learning with social networks in education, or studies like ValCon examining digital social news media and polarization is also clearly relevant. Material becomes only weakly relevant if it treats “media” broadly but still analyzes disinformation, credibility, or political engagement specifically on social platforms; it is non-relevant when limited to traditional media (radio/TV/print) without a connection to social networks, such as GDR-era media habits or Yugoslav broadcast coverage. Edge cases include using synonyms like “social networks” instead of “social media,” counting specific platform names even without the term “social media,” and excluding methodological terms like “online interviews/CAWI,” which are not topical. Overall, this paragraph is highly relevant because it repeatedly and explicitly covers social media use across populations and contexts, though some historical/traditional-media sections are outside scope.
15423	jugendliche	The user is seeking comprehensive research data and surveys on adolescents in Germany, spanning sexuality, wellbeing, media/social media use, migration and integration, leisure, substance use, violence, legal status, political attitudes, and educational outcomes. They also want details on samples, methods, and time frames across these studies.	A document is relevant if it centers on adolescents (Jugendliche) as the subject, uses the exact term or close synonyms (Kinder und Jugendliche, Teenager, Heranwachsende, junge Menschen), and/or specifies youth age bands such as 12–19, 14–17, or 14–18. Clear examples include surveys of youth sexuality (14–17), wellbeing studies of 7th/9th graders, media-use research on 12–19-year-olds, datasets on the living situation of foreign youths, or legal/statistical tables that explicitly break out categories labeled “Jugendliche.” Documents are non-relevant if “jugendliche” appears only incidentally while the main focus is adults or the general population, if it is purely historical/legal background without youth-focused analysis, or if the adjective is used in unrelated senses (e.g., jugendliche Mode, Jugendstil). Edge cases include materials on “junge Erwachsene” (18–25) or “Heranwachsende” (18–21), which are only relevant when adolescents are included or compared, and parent-focused content that remains relevant if it reports outcomes or behaviors of the youths themselves. Morphological variants (Jugendlicher, Jugendlichen) and compounds (Kinder und Jugendliche, Jugendzentrum) can also indicate relevance when the content concerns adolescents’ experiences, services, or measurements.
1552	religiosität	The query seeks studies and survey data on religiosity—beliefs, practices, and self-assessed spirituality—and how it relates to attitudes toward death, politics, socialization, and demographics. It points to German (and some comparative, e.g., Cologne–Tokyo) datasets across students, youth, and the general population.	A document is relevant if it explicitly treats religiosity as a topic or measure, such as reporting church attendance, frequency of prayer or Bible reading, self-rated religiosity, belief in God or an afterlife, spiritual feelings, or the importance of following religious rules. It is also relevant when religiosity appears as a demographic or scale within broader surveys of politics or society, provided it is actually measured or analyzed—for example, items on Kirchgangshäufigkeit, Beten, Freitagsgebet, adherence to Islamic prescriptions, belief in angels/demons, astrology, or readiness to proselytize. Documents that only mention “Religiosität” in passing (e.g., a lone variable name in a long list) without describing content, methods, or findings are weakly relevant, while pieces focused solely on unrelated topics like housing or party preferences with no religious measures are non-relevant. Edge cases include spelling/umlaut variants (Religiositaet), synonyms like spirituality, or constructs like “thinking about religion” or “divine messages,” which can still qualify; by contrast, texts that reference churches or clergy historically but never address personal religiosity as a trait or practice may not satisfy the query. German-language sections that enumerate detailed religiosity batteries (e.g., frequency of thinking about religion, feelings of divine intervention, or missionizing readiness) strongly match the intent of the query.
15640	karriere	The user is seeking comprehensive information and datasets on career development and trajectories in Germany—especially academic careers but also other professions—covering stages of advancement, education, exams, employment, social origin, gender, and work–life balance from historical to contemporary periods. The goal is to understand determinants of career progression, mobility, and outcomes.	A document is relevant if it uses “Karriere” in the sense of professional or academic career paths, stages, determinants, or outcomes—for example, handbooks on academic careers in Prussia/Germany (1850–1945) describing Karrierestufen like study duration, exams, promotions/habilitation/professorships, surveys on work and career (career goals, mobility, job market), or studies of journalists’ and politicians’ career trajectories. Mentions via compounds and synonyms (beruflicher Werdegang, Laufbahn, Karrierechancen, Karrierebedingungen) and operational indicators (appointments, tenure, publications, mentoring, labor market status) also make it relevant, including analyses of family–career balance or discrimination affecting careers. It is non-relevant when “karriere” appears only as a navigation label, boilerplate, a brand/name, or a passing mention without describing career development, or when used metaphorically unrelated to employment. Edge cases like content about sacrificing or interrupting a career, historical lists of promotions and professorships, or evaluation of journals’ impact on reputation and career remain relevant because they analyze career conditions and outcomes. Conversely, pages that merely enumerate unrelated topics where “karriere” occurs once without context, or contain only administrative metadata, would be non-relevant.
15721	job	The user seeks comprehensive survey data on employment and job market conditions—types of employment, working hours, income/taxes/social security, side jobs, and unemployment. They also want evidence on job-related mobility (commuting, travel, relocations) and its causes and impacts on well-being, family life, career progression, job satisfaction/stress, union attitudes, automation, and gender equality, with demographic breakdowns.	For the query “job,” a document is relevant when it primarily addresses employment and work-related themes such as employment status, job mobility, working hours, pay/benefits, job search and unemployment, job satisfaction, and workplace conditions. Examples include surveys detailing side jobs and their taxation, commuting or overnight travel for work and relocations made for job reasons, occupational histories and promotions, union membership and works council issues, or sector-specific job markets (e.g., journalists). Content about job-creation programs and retraining, temporary or part-time contracts (including rules like “50 days or 2 months per year”), the effects of automation on job stress, or variables like gross income from a primary job and social-security contributions also matches. Documents are non-relevant if “job” appears only incidentally or in another sense (e.g., the biblical Job or computing batch jobs), or if the focus is on unrelated domains (family, religion, health) without substantive links to employment. Edge cases include broad social surveys: they remain relevant when they contain substantial employment modules (even if mixed with other topics) and when they use near-synonyms such as occupation, work, or employment; however, pieces that mention jobs only in passing within a long list of unrelated variables may be borderline.
15758	job satisfaction	The user seeks survey-based research on job satisfaction and its determinants, including working conditions, pay, hours, job security, mobility, company characteristics, and unionization. It also encompasses demographic breakdowns and related attitudes (e.g., retraining, co-determination, equal opportunities), with emphasis on German contexts such as changes around unification.	A document is relevant if it explicitly measures or analyzes job, work, or occupational satisfaction, including named scales (e.g., the SAZ short form) or items like wage satisfaction, satisfaction with job security, promotion prospects, workplace atmosphere, or relationships with colleagues and superiors; examples include surveys of coal and steel employees, EDP users, central Hesse workers, machine fitters, and working mothers. Studies that link job satisfaction to determinants such as wage systems and bonuses, working hours and shift work, commuting distance and costs, company size, co-determination, union membership, retraining, or compare satisfaction across periods (e.g., before/after German unification) or groups (retrainees, guest workers, farmers) are also clearly relevant. Documents where job satisfaction appears as one module within broader quality-of-life surveys remain relevant if they contain a distinct job satisfaction scale or items tied to employment. Non-relevant materials focus only on non-job domains (life or housing satisfaction, neighborhood/yard satisfaction, consumer habits, politics) or discuss employment factors (wages, job security, mobility, training) without any evaluative satisfaction component. Edge cases: synonyms like work satisfaction, occupational satisfaction, satisfaction with choice of occupation, and wage satisfaction should count; student surveys are relevant only when they include post-study or employment-related job satisfaction, not merely satisfaction with study conditions.
1635	depression	The query seeks studies and datasets related to “depression,” including mental health depression measured in German surveys of youth and adults (stress, bullying, unemployment, substance use, PHQ/FPI scales) and analyses of the economic Great Depression in interwar Germany. It aims to identify where and how depression is assessed or discussed across these social science and historical sources.	A document is relevant to “depression” if it substantively addresses psychological depression—its symptoms, measurement, prevalence, correlates, or treatment—including synonyms and operationalizations such as depressive symptoms, melancholy/hopelessness, PHQ scales, FPI depression subscales, suicidal ideation, or use of antidepressants. For example, surveys that record depressive symptoms among youths, PHQ depression tendencies, depressive moods in workplace health modules, or adult health surveys listing diagnosed depression and related complaints are clearly on-topic. It is also relevant when “depression” denotes an economic depression, such as analyses of Germany’s Great Depression, banking crises, wage dynamics, or policy responses framed explicitly as “the depression.” By contrast, documents are weakly or non-relevant if “depression” appears only as a fleeting item in a long variable list without discussion, or if the focus is on politics, education, or religiosity with no substantive treatment of depression. Edge cases include scale labels (e.g., FPI “depression”) or phrases like “depressive moods,” which count as relevant, whereas unrelated usages (e.g., geographic or meteorological depressions, or words like “depressurization”) do not.
16523	klimaschutz	The query seeks datasets and reports on German public attitudes toward climate change and climate protection, including views on the Energiewende, responsibility of actors, personal behaviors, and evaluations of specific measures (e.g., CO2 pricing, speed limits, EV incentives, GEG). It specifically looks for methodology, demographics, and time trends (2021–2024) from recurring CATI dual-frame surveys by Kantar/Verian and related German Internet Panel modules.	A document is relevant to “klimaschutz” if it substantively addresses climate protection—policies, measures, or public attitudes aimed at reducing emissions—such as CO2 pricing/abgabe, subsidies for energy‑efficient retrofits and heating, electric‑vehicle incentives and charging, speed limits, kerosene taxes, coal phase‑out, or progress in the Energiewende. Survey reports are relevant when they measure who should act (government, industry, utilities, consumers), familiarity with initiatives (e.g., Klimakabinett), or expected impacts on prices and sectors like mobility, energy, buildings, and agriculture. Content about climate change risks, extreme weather, or floods is relevant if it links to mitigation or protection actions; broad environmental or health topics are only borderline unless tied to greenhouse‑gas reduction. Non‑relevant documents focus solely on demographics or sampling methods, cover unrelated policies (health system, pensions, smartphone habits) without a climate connection, or mention “Klimaschutz” only in passing without discussing concrete measures. Edge cases include mobility or tourism pieces (e.g., Germanyticket, flying less) that become relevant when framed around emission cuts, and EU‑level discussions (lobbying, legal enforcement) that are pertinent when they address the EU’s climate‑protection stance.
1670	rassismus	The user is seeking research and survey data on racism in Germany, focusing on public perceptions and lived experiences—particularly among people with migration backgrounds—and the prevalence of related prejudices (xenophobia, antisemitism, Islamophobia). They also want contextual measures such as media coverage, trust in institutions and police, evaluations of anti-racism policies, social integration, and demographic/political correlates.	A document is relevant to the query “rassismus” when it directly examines racism—such as perceptions and lived experiences of racial discrimination, attitudes toward minorities, or policy responses—especially in concrete contexts like post–George Floyd debates in Germany. Materials that operationalize racism via surveys or scales, or that analyze related constructs (e.g., Fremdenfeindlichkeit, xenophobia, Islamophobia, antisemitism) as part of a broader racism framework, also count as relevant; for example, questionnaires asking about racist prejudices in daily life, trust in police, and evaluation of anti-racism policies. Content analyses of media coverage of “Ausländer” are relevant when they code or interpret racist framing, language, or portrayals. By contrast, documents that only list “Rassismus” among many tags without substantive treatment, or that focus solely on economics, EU governance, or demographics without linking them to racism, are non-relevant. Edge cases include formal coding schemes or topic lists: they are relevant if they include and use “Rassismus” items in analysis, but borderline if they merely enumerate categories without examining racist content or effects.
17057	kinderbetreuung	The user seeks information on childcare in Germany: types and availability of care, responsibilities of providers (municipal vs. state), costs/support, and impacts on parents’ employment, gender roles, and family life. They may also want survey-based evidence on how childcare arrangements changed during policy shifts or crises such as COVID-19.	For the query “kinderbetreuung,” documents are relevant if they address childcare services, arrangements, or policies—such as availability and types of care (Kita, daycare, preschool, after-school care, childminders), parental leave and division of care, costs/subsidies, usage and satisfaction, or impacts on parents’ employment and time allocation. Studies that examine municipal responsibility for childcare, family support networks (e.g., grandparents’ care), or COVID-era changes in children’s care and schooling are also relevant, as are time-use diaries that quantify hours spent on childcare. Documents become less relevant when “Betreuung” refers to groups other than children (e.g., elder or healthcare support), or when childcare is only listed among many topics without substantive discussion, methods, findings, or policy detail. Edge cases that still count include broader family-policy pieces comparing cash benefits versus expansion of childcare, household expenditure sections that include childcare spending, or education-focused texts that cover supervision and care outside teaching hours. Synonyms and near-terms such as daycare, nursery, Kita, childminding, babysitting, or “Betreuungssituation” for children should be treated as relevant signals.
1719	vertrauen	The user is seeking survey-based research on trust (Vertrauen) across politics, society, and technology—public trust in governments, institutions (e.g., NATO/EU, courts, police), media, and platforms—and its determinants and effects. Emphasis is on how trust shapes acceptance of COVID-19 measures, welfare and security policies, and data sharing/privacy under GDPR, drawing on sources like Eurobarometer and the World Values Survey.	A document is relevant to the query “vertrauen” when it treats trust as a central concept—measuring, analyzing, or explaining trust (e.g., public trust in government, politicians, institutions like NATO/EU/UN, mass media, or generalized social trust) and its consequences, such as acceptance of COVID-19 measures or willingness to share data with apps. Survey-based materials that include explicit “Vertrauen in …” variables, indices from Eurobarometer or World Values Survey (general trust, institutional trust), or models linking trust to behaviors (e.g., technology acceptance, policy support) are strongly relevant. By contrast, texts that only mention the word in passing (e.g., “vertrauensbildende Maßnahme” without measuring trust), lists of names or topics without trust-related analysis, or discussions of security/military issues that do not assess trust are weakly or non-relevant. Edge cases include inverse formulations like “Misstrauen” (often still relevant), ambiguous uses such as parliamentary “Vertrauensfrage” (relevant only if about citizens’ trust, not procedural votes), and non-social meanings of trust (legal “Treuhand,” cryptographic trust stores, or statistical “confidence”) which are non-relevant. German-language documents spanning multiple domains can be relevant as long as trust is a key variable rather than a incidental term.
1743	lebenszufriedenheit	The user is looking for surveys and datasets that measure life satisfaction (Lebenszufriedenheit) and related domains, primarily in Germany (e.g., Hamburg, Cologne, migrant populations) with some comparative European coverage, to support empirical analysis of its determinants and trends.	A document is relevant if it measures, analyzes, or reports on Lebenszufriedenheit (life satisfaction), either as an overall rating or via a specific scale, and may include related domain satisfactions (e.g., income, health, housing) used to assess general life satisfaction. Clear examples include survey or dataset descriptions listing “Allgemeine Lebenszufriedenheit,” “Skala Lebenszufriedenheit,” or modules on life satisfaction within broader studies (e.g., Hamburg BUS, Eurobarometer, integration or migration surveys that ask about life satisfaction). Documents are non-relevant if they only address narrow satisfactions like Wohnzufriedenheit or Arbeitszufriedenheit without linking to overall life satisfaction, or if “Lebenszufriedenheit” appears only in boilerplate metadata with no substantive measurement or discussion. Edge cases: texts using German synonyms like Wohlbefinden or Glück, or English “life satisfaction,” are relevant if they clearly refer to the construct; multi-topic political or social surveys remain relevant when they contain a life satisfaction item or scale. Conversely, general political commentary or historical overviews that merely list the term without data, variables, or findings on life satisfaction should be treated as non-relevant.
