query_id	query	item_type	var_desc	var_narr
43698	covid19	research_data	Looking for datasets and research about the social, political and economic impacts of the COVID‑19 pandemic—especially surveys on public attitudes, behaviour changes, trust in institutions, vaccine acceptance, lockdown effects, and policy responses (many German/European data sources). The information need is to find usable survey data, codebooks and study descriptions for analysing how COVID‑19 affected wellbeing, work, families, solidarity and political opinions.	A document is relevant to the keyword "covid19" when it substantively studies the COVID‑19 pandemic — for example, surveys, datasets or articles that analyze lockdown effects, vaccination attitudes, contact‑tracing apps, sector closures or changes in employment and wellbeing during specific pandemic waves (e.g., German panel studies March–August 2020, KOMPAKK sector closure data, CoronaWarnApp usage, vaccination panel data). Highly relevant items typically report COVID‑specific variables (time frames, wave/sample sizes, measures of risk perception, trust, solidarity, behavior change, vaccination intent) and provide usable data or codebooks. Documents that only mention “COVID19” in passing, are metadata‑only, or focus on unrelated topics (e.g., general SDG consumer surveys without pandemic modules, preprints about publishing culture that are not COVID‑specific) should be considered non‑relevant. Edge cases include pre‑pandemic datasets used for COVID comparison (partially relevant), restricted/open question data that limit reuse, and multiple versions/translations of the same study (choose the latest complete version for highest relevance).
6346	worklifebalance	research_data	Seeking research-based guidance on how individuals, employers and policymakers can achieve work–life balance and an equitable division of paid and family work for both women and men. The user also wants empirical evidence—survey and panel data (including COVID‑19 impact studies) on workplace conditions, policies, and outcomes (income, employment, wellbeing) that enable or hinder partnership-based sharing of work and family responsibilities.	A document is relevant to the keyword "worklifebalance" when it explicitly studies or measures the compatibility of work and family life (German: "Vereinbarkeit") or contains variables that operationalize that concept — for example, division of paid and unpaid work between partners, working hours (full/part‑time, overtime, shift work), childcare availability and costs, parental leave, telework/remote work, and measures of work–family conflict or satisfaction. In the supplied paragraph the study titled "Betriebliche Gelingensbedingungen einer partnerschaftlichen Aufteilung von Erwerbs‑ und Familienarbeit" (parents’ division of work), the pairfam panels, and the COVID‑19 everyday‑experience panel (school/kita closures, changes in work situation) are highly relevant because they directly address how work and family responsibilities interact. Documents that focus on unrelated themes (e.g. religion, nuclear energy, broad value surveys like some EVS/ISSP modules) or are purely metadata/methodological descriptions without variables on childcare, hours or role division would be non‑relevant or only background‑relevant. Edge cases: a text that merely mentions “work” or “family” without linking the two is only weakly relevant; cross‑national surveys (ISSP, EVS) can be useful if they include specific family/work items or time‑use modules but may be less useful if they only have general attitudes; likewise, studies limited to one gender, one age cohort, or that are outdated should be treated as partial evidence rather than fully generalizable.
12195	persönlichkeitsmerkmale	variables	The user wants a clear overview of personality traits and how to evaluate their own characteristics. They are looking for definitions of common traits (e.g., the Big Five) and simple guidance or items to self-assess where they see themselves.	The query "persönlichkeitsmerkmale" seeks information about personality traits, so a document that helps someone identify or describe typical traits is relevant. The provided paragraph is in German and repeatedly prompts the reader to "assess yourself," which is directly related to eliciting information about personality and therefore partially relevant. However, it is low-quality for this query because it contains no specific trait names (for example, introversion, conscientiousness, openness), no definitions, scoring, or examples, and is cluttered with repeated lines and "br" artifacts. A fully relevant document would include trait lists or models (Big Five), behavioral indicators, example items or scoring guidance, whereas this text might only be useful as a brief survey prompt or starting instruction but not as substantive information. Edge cases: it could be acceptable if the user wanted a short questionnaire header, but it is non-relevant if the user expects definitions, research, or concrete trait descriptions.
14255	konsum	variables	The user is looking for measures and survey questions about consumption and media use, including frequency of reading local, regional and national newspapers (and specific titles), watching news on public or private TV, and membership/knowledge of consumer associations and their magazines. They also want questions about personal consumption habits (wine, meat, various foods and drinks) and smoking frequency.	A document is relevant for the query "konsum" when it directly addresses consumption behavior or consumer topics — for example survey items asking how often people read local or national newspapers, whether they drink wine, eat meat, or smoke, or questions about consumer associations and magazines. The paragraph you provided contains many clearly relevant elements: frequency-of-use questions (e.g., "An wievielen Tagen … gelesen"), dietary frequency lists ("Essen Sie Fleisch", repeated item lists), and explicit consumer‑association prompts, all of which are central to consumption research. Documents that are non‑relevant mention "Konsum" only tangentially (e.g., as part of a company name or filename), discuss production/supply issues rather than end‑user consumption, or contain only survey metadata and response codes (KA, TNZ, wave notes) without behavioral content. Edge cases include ambiguous intent (if the user meant economic consumption vs. media/food consumption), documents that only include a single occurrence of the term in a header, or materials in a different language — these may be borderline relevant depending on whether the user needs raw survey items, coded data, or high‑level analysis. Prioritize texts with explicit frequency measures, question wording, or lists of consumer goods when matching for "konsum."
15640	karriere	variables	The query "karriere" (German for "career") indicates a need for information about building or advancing a professional life—such as career paths, job opportunities, required qualifications and skills, CV/interview advice, or company career pages. The user likely wants guidance on starting, changing, or progressing a career and finding relevant openings.	A document is relevant to the keyword "karriere" if it clearly focuses on careers, career development, job opportunities, CV/interview advice, or pathways within professions — for example, a German-language guide to switching careers, a company’s careers page, or a list of job openings. Because "karriere" is German, pages written in German or aimed at German-speaking jobseekers are usually more relevant; English pages about "career" can still be useful but may not match the user’s language intent. Non-relevant documents merely mentioning the word in passing, using it as a surname or brand name, or containing it only in unrelated lists are not helpful. Edge cases include pages where the term appears only inside large aggregated content (e.g., a long forum thread) or outdated job postings that no longer apply; these may require extra weighting or freshness checks. Signals that increase relevance include the term appearing in titles, headings, meta tags, structured job data, and in-depth, actionable content; weak signals are single occurrences, poor translations, or pages that focus on adjacent topics like general business news without career-specific information.
1743	lebenszufriedenheit	variables	The user is looking for a clear explanation of a German survey item about "Lebenszufriedenheit" — a single-item measure asking respondents to rate their overall life satisfaction on a 1–7 scale, introduced by two contrasting self-evaluation vignettes. They likely want to understand the question’s purpose, wording and how to administer or interpret responses in a survey or research context.	A document is relevant to the keyword "lebenszufriedenheit" when it directly addresses life satisfaction as a self-evaluation — for example the dialog between two friends about how satisfied they feel and the repeated 1–7 satisfaction question in this paragraph — or when it presents measurement items, Likert scales, or survey modes (CAWI, MAIL) used to assess life satisfaction. Content that discusses subjective well‑being, life satisfaction scales (e.g., explicit 1 = very unsatisfied to 7 = very satisfied), or translations of those questions into other languages is also highly relevant because it bears on how lebenszufriedenheit is operationalized and measured. A document is not relevant if it only uses the word "Leben" in other contexts (life insurance, biological life) or treats happiness abstractly without linking to personal satisfaction or self‑report measurement; a single offhand mention of "Lebenszufriedenheit" in a bibliography can be a weak match. Edge cases include materials that duplicate questionnaire items many times (noise but still relevant), methodological papers on survey administration (relevant if they concern measurement of life satisfaction, but only tangentially if they focus solely on sampling or statistics), and texts that use close synonyms (subjective well‑being, life quality) which should be considered relevant depending on whether they cover self‑rated satisfaction.
1817	mediennutzung	variables	The user wants to assess an individual's media usage and preferences, specifically how often they watch TV and read a daily newspaper and how much they like different music genres. They also want ratings of interest in various types of TV programs using a scale from "very much" to "not at all."	A document is relevant to the query "mediennutzung" if it directly addresses individuals' media consumption patterns — for example survey items asking how many days per week someone watches TV, how often they read a newspaper, or how much they like different music genres. Questionnaire text, lists of media types, and response scales (very strong/strong/medium/low/not at all) are strong indicators of relevance; even if the material is in German or contains repeated or slightly garbled lines, it still maps to media-use measurement. A document is non-relevant when it discusses media in other senses (media production, technical specs, advertising strategy) or treats “media” only tangentially without measuring usage behaviors. Edge cases include documents that only cover one medium (e.g., music preference but not TV/newspapers) — still relevant but narrower in scope — and methodological or theoretical papers about media effects that do not contain concrete usage questions, which may be borderline. Relevance is highest when the text contains explicit frequency measures, question wording, or Likert-style interest ratings that could be used to quantify media use.
18589	migranten	variables	A need to find or reproduce a survey measuring German public attitudes toward migrants, including items on contact with foreigners, perceived treatment and discrimination, integration (e.g., whether migrants can become “real” Germans), support for Islam instruction in schools, estimates of foreigner share, neighborhood preferences, and views on refugees’ risks or opportunities. The user is looking for the specific questionnaire items and response scales used to assess these attitudes.	A document is relevant to the keyword "migranten" when its main subject is migration or migrants — for example discussions of foreigners or refugees in Germany, public-opinion surveys about "in Deutschland lebende Ausländer", policies on integration or schooling (e.g., Islamunterricht), neighborhood preferences, or measured attitudes and discrimination scales. Concrete signals of relevance include mentions of synonyms like Ausländer, Flüchtlinge, Einwanderer/Zuwanderer, statistics on foreigner percentages, survey items asking about contact with migrants, or instruments showing Likert/scale responses about migrants. A document is non-relevant when the word appears only incidentally or in a different domain — for example IT/database migration, animal migration studies, or a passing quote that doesn’t address people, policy, or public attitudes. Edge cases include German-language materials (which are highly relevant if they discuss migrants), documents that discuss legal status vs cultural assimilation (both can be relevant but for different analytic needs), and methodological survey texts: questionnaires and scale descriptions are relevant even though they are not interpretive analyses. If a text only reports raw demographic counts (e.g., census tables) it is borderline but usually relevant; if it uses "migration" in a metaphorical or technical sense unrelated to human migration, it is not relevant.
19136	migra	variables	A survey variable capturing both respondents' migration status (East/West resident, commuter, or migrant) and their attitudes about migration related to EU enlargement. It asks whether people expect significant or limited migration from Eastern and Central Europe to the respondent’s country, whether that is positive or negative (and why), plus agree/disagree responses to statements about immigration and immigrants.	A document is relevant to the keyword "migra" when it discusses human migration, migrants, or migration-related survey variables—for example, the paragraph’s variable codes (1 = purely West, 3 = West migrant to the East) and the EU-enlargement questions about people moving from Eastern and Central Europe clearly match the intent. Relevant examples include survey documentation, questionnaire text about immigration attitudes, or analyses of East–West migration flows. Non-relevant documents merely containing the substring "migra" but about other topics—e.g., "migraine," "migratory birds," or an unrelated acronym "MIGRA"—should be excluded. Edge cases include short or ambiguous mentions (a lone variable name "migra" without context), foreign-language uses or slang ("la migra" referring to immigration enforcement), and documents that list variable codes but lack substantive migration content; for those, check surrounding words like "migration," "migrants," "EU enlargement," "East," "West," or "survey" to confirm relevance.
21585	linksrechtsskala	variables	The user wants a clear explanation of the "left–right scale" used in political surveys — what it measures and how respondents, parties and politicians are asked to place themselves. They also need to know common implementations and coding (e.g., 0–10, 1–11 or 1–5 "thermometer" formats), plus how missing/"don't know" responses and wave-specific variations are handled.	A document is relevant if it contains survey questions, codebooks, or questionnaires that ask respondents to place themselves, parties, or politicians on a left–right political scale (e.g., self-placement items, party placement such as SPD/CDU/FDP/CSU/Greens, or politician ratings like Helmut Kohl or Oskar Lafontaine). Relevant documents typically show the exact scale format and wording (examples: 1–11 scales, 0–10 thermometers, 1–5 follow‑up thermometers, or two‑step left/middle/right plus intensity), response codes (e.g. 01..11, 98/99/00, KA/no answer) and variable labels (F35, F30, F31, FIV31, etc.) or wave-specific instructions. Non‑relevant texts are those that use the words “links” or “rechts” in other senses (hyperlinks, legal “rechts,” spatial directions) or general political commentary that does not include a measurement instrument or scale item. Edge cases include documents that merely mention left–right ideology without showing the response categories (lower relevance), translations or summaries of questionnaires (may be partially relevant), and telephone‑survey notes that omit visual thermometers or change coding across waves — these require careful inspection to confirm they capture the scale information sought.
21895	linksrechts	variables	Survey items asking respondents to place their own political views on a left–right scale (using lettered boxes or a 0–10 "thermometer") and to rate where various political parties fall on that same scale. It also asks respondents to assess how strong they perceive conflicts or interest differences to be between various social and political groups in Germany.	Relevant documents are those that clearly function as a political questionnaire or survey instrument using the German left/right framing—e.g., items that ask respondents to place themselves on a left–right scale, to rate parties on that same scale, or to rate group conflicts (the text’s repeated “links” and “rechts,” scale descriptors like 0–10, answer boxes/letters, and mode labels like CAWI/MAIL are strong signals). Include full question wording, response options, and instructions (such as “make a cross” or “name the letter below”) because these show the document’s purpose and allow mapping to the query. Non-relevant documents mention “left” and “right” in other senses (driving directions, anatomical terms, or web “links”), are opinion pieces that only refer to left/right metaphorically, or are fragments that lack any survey structure or scale. Edge cases include transcripts or reports that quote the questionnaire (still relevant) and heavily duplicated or HTML-tagged copies (the repeated br tags or repeats are noisy but still relevant if the survey content is present).
22951	medienkonsum	variables	The user wants an overview of "Medienkonsum" — how people use different media for entertainment and information, including types of media, usage patterns, effects, and practical guidance or recommendations for healthy media habits.	A document is relevant to the keyword "medienkonsum" if it discusses how people consume media — types of media (TV, internet, social media, radio), usage patterns, time spent, demographic differences, or effects of media on users. The supplied paragraph — repeatedly mentioning "the various means of entertainment and information" — is semantically related and could be relevant even though it does not explicitly use the word "medienkonsum"; however, the repeated lines and HTML-like breaks suggest low quality or noisy duplication. Non-relevant documents simply name media channels without addressing consumption (for example a technical spec for broadcasting equipment, site navigation menus, or marketing copy), or focus on media production/policy rather than user behavior. Edge cases include translated text or synonyms (e.g., "media use" or "usage patterns") which should be treated as relevant, whereas boilerplate repetitions, spam, or isolated phrases with no substantive content should be treated as non-relevant.
230	umweltbewusstsein	variables	The user wants a clear definition and overview of "umweltbewusstsein" (environmental awareness), including its significance for individuals and society. They may also be seeking examples, ways to foster eco-conscious behavior, and methods to measure or promote it.	A document is relevant to the keyword "umweltbewusstsein" if it explicitly discusses environmental awareness — for example definitions, surveys or statistics on public attitudes, educational programs, behavioral studies (recycling, low-carbon transport), awareness-raising campaigns, or policy measures intended to increase ecological consciousness, especially in German-language or Germany-focused contexts. Highly relevant documents include NGO reports on German citizens’ environmental attitudes, academic papers measuring "Umweltbewusstsein," school curricula on sustainability, and case studies of successful awareness campaigns. Documents are non-relevant if they merely mention the word in passing, use it as marketing jargon without evidence (e.g., a product labeled "umweltbewusst" with no substantiation), or if the text is about unrelated topics that happen to contain the word (company names, trademarks, or literal biological uses of "Umwelt" in ethology that do not address human environmental attitudes). Edge cases include English-language materials using the synonym "environmental awareness" (relevant if the user intends the same concept), articles reporting environmental outcomes (like emissions or recycling rates) that imply awareness without naming it (potentially relevant), and philosophical or scientific uses of "Umwelt" that require checking intent before deeming them relevant.
26823	technology	variables	Someone searching for "technology" here is likely looking for survey items or a way to measure public interest, awareness, and attitudes toward technology. They want to assess things like personal interest and informedness about science and tech, perceived regional leadership in ICT use, expected impacts of emerging technologies over the next 20 years, information sources, and the future role of space-derived technologies.	This document is relevant to the query "technology" because it repeatedly names technology-related topics (e.g., "A5 Technology," "science and technology," "information and communication technologies," "Internet," "mobile telephone," and "space derived technologies") and contains question items about interest, awareness, and perceived effects of new technologies. It is specifically a survey questionnaire, so it is especially useful if the query intent is about public attitudes, survey design, questionnaire items, or measuring interest in technology (for example, researchers looking for response scales like "1 Not at all" to "4 Very much"). It would be non-relevant for intents seeking technical explanations, implementation details, code, or product specifications — this text contains no technical descriptions or how-to guidance. Edge cases: noisy formatting and repeated prompt tokens (FW2, Present list, duplicated lines) may lower precision in retrieval but could help if the user wants examples of survey wording or repeated-item validation.
2817	populismus	variables	The user wants a clear, concise definition of "populism" and its distinguishing characteristics. They may also be looking for the different types (left/right), typical causes and rhetoric, and examples or political consequences to understand how the concept applies in practice.	A document is relevant to the keyword "populismus" if it explicitly defines or analyzes populism—its core features (anti-elitism, people-versus-elite rhetoric, charismatic leadership, simplistic policy promises), its varieties (right-wing, left-wing, nativist), or concrete case studies (e.g., analyses of parties or leaders in Germany, Austria, the US, or Latin America). Empirical research, historical overviews, comparative studies, media- and discourse-analyses, and articles that measure or operationalize populism (indices, survey evidence, rhetorical coding) are highly relevant because they provide substantive explanation and examples. A document that merely mentions the word in passing, uses it as a political insult without conceptual clarity, or discusses unrelated topics that happen to contain the substring "populismus" is not relevant. Edge cases include opinion pieces or satire that use populismus rhetorically (partly relevant if they illuminate public perception), documents in other languages where the concept is analyzed under different labels, and news reports about protests or policies that imply populist dynamics but do not explicate them (these are partially relevant depending on depth).
28676	worklife	variables	A user searching "worklife" wants to assess how their job responsibilities affect their personal life, specifically measuring how often work duties interfere with private life (often/sometimes/rarely/never). This is part of a broader survey about impressions of everyday places and people.	A document is relevant to the keyword "worklife" when it explicitly addresses the relationship between work and private life — for example discussions of where people work, how job tasks or duties affect home life, commuting, working hours, or questions about work–life balance. The provided paragraph is highly relevant because it mentions "wo Sie ... arbeiten" (where you work) and directly asks how frequently professional duties impair private life, which ties squarely to worklife issues. A document is non-relevant if it only lists everyday locations or gives general survey instructions and Likert scales without any linkage to employment, job demands, or effects on personal life. Edge cases include texts that use the word "work" in other senses (e.g., "work of art," mechanical "working" devices), brief passing mentions of employment status without discussing impacts on private life, or multilingual repetitions and boilerplate that dilute the substantive work–life content.
