qid	query	instru_desc	instru_narr
55689	arbeit und arbeitszufriedenheit	Validated questionnaires and measurement tools for assessing job satisfaction and related workplace well‑being constructs.	Relevant instruments: standard job satisfaction measures (Minnesota Satisfaction Questionnaire, Job Satisfaction Survey, single-item measures used in large surveys), scales assessing facets of job satisfaction, psychosocial workplace instruments (e.g. COPSOQ, Job Content Questionnaire, Effort–Reward Imbalance), and survey modules capturing satisfaction-related constructs. Include translations and psychometric documentation. Exclude: instruments not targeted at job-related satisfaction or those without psychometric validation.
55130	arbeitsbedingungen	Assessment instruments and tools for measuring working conditions, occupational hazards, health and psychosocial work environment.	Relevant instruments: COPSOQ, Job Content Questionnaire (demand-control-support), Effort–Reward Imbalance scale, EWCS survey modules, workplace risk assessment checklists, ergonomic assessment tools, shift-work questionnaires, safety reporting systems, and structured observational tools. Include translations, validation studies and guidance for application. Exclude: clinical diagnostic instruments unrelated to workplace exposures or tools solely for industrial engineering design without occupational-health focus.
3125	arbeitslosigkeit	Instruments, register systems and survey modules used to measure unemployment, job-search behaviour and programme participation.	Relevant instruments: labour force survey questionnaires (unemployment modules), administrative unemployment registers, benefit payment and caseworker databases, job-search and unemployment spell calendars, standardized coding for labour-status categories, and evaluation tools for active labour-market programmes. Exclude: tools not designed to capture unemployment or those focused exclusively on underemployment without unemployment measures.
57703	arbeitsweg	Measurement instruments used for commute assessment: travel diaries, GPS/accelerometer trackers, map-based route collection tools, commute modules in surveys, and validated scales for commuting stress.	Include survey modules and questionnaires asking about usual mode, travel time and distance to work; travel diaries and day reconstruction methods specifying work-trip entries; GPS tracking and smartphone apps that record routes and times; transport modelling tools for commute distance/time estimation; and psychometric scales specifically assessing commuting stress or satisfaction. Exclude instruments that record mobility only at an aggregate level without trip purpose or those unrelated to travel-to-work measurement.
3474	arbeitszeit	Tools for measuring working time: time-use diaries, payroll and electronic time-stamp systems, employer scheduling software extracts, and standardized survey modules on working hours.	Include validated instruments and administrative sources used to measure hours and schedules: diary-based time-use instruments (with paid-work episodes), employer payroll registers and clock-in/clock-out logs, roster/schedule exports, and standard survey items from sources like the European Working Conditions Survey or Working Time Survey. Exclude general employment questionnaires lacking detailed time or schedule items.
57292	ausländer	Instruments to measure migration status and integration: migration questionnaires/modules, administrative registers, language proficiency tests, and acculturation/integration scales.	Include standard survey modules asking about birthplace, citizenship, year of immigration, reason for migration, and residence status; administrative data linkages with registries; validated instruments for language assessment; and scales measuring integration, discrimination or acculturation. Exclude instruments that do not collect clear migration identifiers or that only offer informal proxies for foreign status.
4629	belastung von arbeit	Measurement instruments for work-related burden: Job Content Questionnaire, Effort–Reward Imbalance instrument, Copenhagen Psychosocial Questionnaire, Maslach Burnout Inventory, ergonomic assessment tools and workplace exposure checklists.	Include validated psychometric instruments for psychosocial work factors (JCQ, ERI, COPSOQ), burnout measures (MBI), standardized ergonomic observation tools, workplace exposure assessment protocols, and administrative tools for recording occupational incidents and sick leave. Exclude generic stress scales not tied to workplace conditions or ad hoc measures lacking validation for occupational research.
53421	belastung und arbeit	Tools for assessing the work–burden relationship: combined survey modules (work conditions + health), validated psychosocial instruments (JCQ, COPSOQ, ERI), burnout inventories, and HR analytics linking workload and absence.	Include instruments and protocols designed to measure both sides of the equation: standard workplace psychosocial questionnaires combined with health and absence records, ergonomics and exposure assessment tools alongside symptom checklists, and employer data extraction methods that align work metrics with individual health/performance. Exclude tools that measure only job attributes or only health outcomes without integration capability.
53418	belastungen am arbeitsplatz	Validated questionnaires, observational checklists and measurement tools for assessing workplace burdens and exposures.	Include instruments such as the Copenhagen Psychosocial Questionnaire (COPSOQ), Job Content Questionnaire (JCQ), Effort-Reward Imbalance (ERI) questionnaire, Maslach Burnout Inventory when used for work stress, ergonomic assessment tools (RULA, REBA), noise dosimeters, exposure measurement protocols and workplace observation checklists. Exclude tools that measure general life stress without workplace items.
2160	beruf	Classification manuals, coding tools and survey modules used to record and categorize occupations.	Include ISCO and other occupational classification manuals, coding schemes (e.g., ISCO-08), occupation coding software and crosswalks, survey question wordings for occupation and employment, and guidance materials for coding free-text job titles. Exclude instruments unrelated to occupational coding or that measure other constructs only tangentially.
53913	beruf und bildung	Coding schemes, questionnaires and tools that link education information to occupational classification and skill measurement.	Include ISCED and national qualification classification manuals, tools mapping qualifications to occupations, survey modules on educational history and vocational training, measures of skill mismatch, and instruments for assessing returns to education. Exclude classroom-level teaching instruments not relevant to labor market placement.
53953	beruf zufriedenheit	Validated scales and survey items for assessing job satisfaction and its facets.	Include instruments such as the Job Satisfaction Survey (JSS), Minnesota Satisfaction Questionnaire (MSQ), single-item global job satisfaction questions used in large surveys, facet scales for pay/supervision/tasks, and guidance on scoring and interpretation. Exclude clinical diagnostic tools that do not specifically measure job-related satisfaction.
4716	berufliche tätigkeit	Instruments and tools for measuring job tasks, time use and employment histories.	Include time-use diaries, work diary instruments, task inventories and taxonomies (e.g., O*NET mappings), employment history modules, job exposure matrices (JEMs) and survey question modules for recording employment activity. Exclude clinical functional assessments that do not specify workplace activities.
4833	berufliche mobilität	Survey modules, life-history calendars, coding schemes and analytical tools for measuring and analysing occupational mobility (job history questionnaires, occupational coding manuals, mobility matrices and sequence-analysis software).	Relevant instruments include standardized job-history modules and life-course calendars that capture start/end dates and job characteristics, occupational coding schemes (ISCO, national classifications), indices of status/skill (ISEI, prestige scales), mobility matrices and statistical/sequence-analysis tools (e.g., TraMineR) and questionnaire items eliciting reasons for job change. Exclude instruments that focus solely on employer-level measures, organizational HR systems without individual career detail, or tools unrelated to tracking job transitions.
53691	berufliche einstellung	Validated scales and survey items used to measure occupational attitudes and work values, such as work values inventories, job satisfaction questionnaires and modules on occupational preferences and vocational orientations.	Relevant instruments include standardized work-values inventories, Job Satisfaction scales (single-item or multi-item), measures of intrinsic/extrinsic motivation, career aspiration modules, and questionnaire batteries used in major social surveys to elicit work attitudes. Include translation/adaptations for German contexts. Exclude psychometric instruments unrelated to occupational attitudes (e.g., personality tests without a work-specific component) or instruments that only capture employers' perspectives.
53817	berufliches selbst 	Psychometric scales and survey modules for assessing professional identity and occupational self-concept, such as occupational self-efficacy scales, career identity questionnaires, and life-history tools capturing identity development.	Relevant instruments include validated occupational self-efficacy scales, professional identity scales/adaptations for specific professions, career adaptability and identity questionnaires (e.g., Career Adapt-Abilities items), and interview guides/life-history calendars focusing on identity formation in work. Exclude instruments measuring general personality traits or organizational-level identity measures without an individual occupational-self focus.
54957	bewertung der sozialpolitik	Survey modules, question batteries and experimental designs used to measure public evaluation of social policy, including vignettes, policy-specific items and comparative opinion modules.	Relevant instruments include standardized opinion-question batteries on welfare attitudes, modules used in comparative surveys (e.g., items on welfare support), vignette experiments assessing reactions to policy scenarios, and validated scales measuring trust in social institutions and perceived policy effectiveness. Exclude instruments focused only on administrative policy metrics or technical costing tools without measures of public evaluation.
54952	beziehung führungskraft	Questionnaires, validated scales and measurement modules for assessing supervisor–employee relations, notably Leader–Member Exchange instruments, supervisory support scales and workplace conflict/mentoring measures.	Relevant instruments include the LMX-7 (or other LMX measures), perceived supervisor support scales, mentoring relationship inventories, instruments measuring supervisory fairness and abusive supervision, and multi-source feedback tools capturing dyadic relations. Exclude leadership instruments that only measure leader traits or organizational-level leadership climate without items on the dyadic supervisor–subordinate relationship.
54354	bildung erwachsen	Survey modules, questionnaires, standardized assessments and evaluation tools used to measure adult education and lifelong learning (e.g., AES questionnaire modules, PIAAC instruments, program evaluation templates).	Include validated survey instruments and questionnaire modules that capture participation in adult learning, motivations and barriers, and adult skill assessments (literacy, numeracy) such as AES and PIAAC instruments, course attendance logs, program evaluation protocols, and adult learning scales. Exclude instruments designed for primary/secondary education settings only, or clinical tools not adapted for measuring adult learning engagement.
46134	care arbeit	Survey modules, scales and measurement tools for assessing care work, caregiver burden, time-use instruments, and occupational classification tools relevant to care sectors.	Include validated instruments such as caregiver burden scales (e.g., Zarit Burden Interview), time-use diary instruments, occupational classification codes for care professions (ISCO/standard national codes), caregiver questionnaires embedded in household surveys, and program evaluation tools for care services. Exclude clinical assessment tools focused only on patient diagnosis without caregiver-oriented items, or generic workplace instruments lacking care-specific items.
45765	climate change attitudes	Survey instruments, validated scales and segmentation tools used to measure climate change attitudes, concern, risk perception and behavioral intent (e.g., standardized survey items, 'Six Americas' segmentation, experimental vignette protocols).	Include commonly used survey question batteries about climate beliefs and concern, validated psychometric scales for environmental concern (when applied to climate), segmentation instruments (e.g., Yale/George Mason 'Six Americas'), and experimental stimuli or messaging protocols used to test attitude change. Exclude instruments focused solely on technical climate literacy tests unrelated to attitudinal measures.
81	climate change	Models, measurement instruments, survey modules, remote sensing products, and tools used in climate research and policy analysis (climate models, downscaling tools, emission accounting methods, remote sensing datasets, public opinion survey modules).	Include climate model ensembles (CMIP), downscaling tools, remote sensing products (MODIS, GRACE), greenhouse gas accounting methodologies, climate impact assessment frameworks, vulnerability and risk assessment tools, and social-science instruments measuring climate perceptions and policy preferences. Exclude tools that do not pertain to climate-related measurement, modeling, or assessment.
43417	conceptions of democracy	Survey question batteries, vignettes, scales and experimental instruments designed to measure public conceptions of democracy, democratic values, legitimacy, and related constructs.	Include validated survey modules from major studies (e.g., World Values Survey democracy items, European Social Survey modules on political values), vignette-based instruments probing trade-offs among democratic principles, and experimental protocols testing messaging on democracy. Also include coding schemes for classifying conceptions in qualitative data. Exclude instruments that measure only institutional indicators without capturing citizen-level conceptions or normative understandings.
43159	consumer behavior	Survey instruments, experimental protocols, tracking tools and coding schemes used to measure consumer behavior.	Include questionnaires and scales for attitudes and intentions, purchase diaries, point-of-sale scanner protocols, choice experiment designs, conjoint analysis tools, eye-tracking and clickstream measurement protocols, field/online experimental scripts, and coding manuals for observational shopper studies. Exclude instruments devoted exclusively to firm accounting, manufacturing processes, or non-consumer economic metrics.
43910	covid	Diagnostic protocols, survey instruments, epidemiological models and measurement tools used in COVID-19 research.	Include PCR and antigen testing protocols, serological assay descriptions, standardized COVID-19 symptom checklists, validated survey modules on pandemic behavior and attitudes, contact-tracing system descriptions, mobility-tracking methodologies, statistical and epidemiological modeling tools (SEIR models, R estimation), and clinical-trial protocols for COVID-19 interventions. Exclude laboratory methods unrelated to SARS-CoV-2 and tools intended for non-pandemic infectious disease contexts unless adapted for COVID-19.
1326	demokratie	Survey questions, coding manuals, and indices used to measure democratic practices, institutions, and attitudes.	Include validated questionnaire modules on political participation and democratic satisfaction, coding schemes and manuals for regime classification (Polity, V-Dem codebooks), electoral data collection protocols, and interview guides for qualitative studies of democratic institutions. Exclude tools developed only for non-political administrative measurement or tools that measure broad governance without reference to democratic criteria.
1635	depression	Validated screening tools, diagnostic interviews, treatment protocols, and assessment batteries for depression research.	Include instruments such as the PHQ-9, Beck Depression Inventory (BDI), CES-D, Hamilton Depression Rating Scale (HDRS), SCID diagnostic interview, Mini International Neuropsychiatric Interview (MINI), psychotherapy manuals, clinical-trial protocols, and standardized rating procedures. Exclude unvalidated mood checklists or single-item measures that do not reliably assess depressive symptoms or diagnoses.
50072	digital	Assessment tools, surveys, analytics methods and protocols used to measure and study digital technology use and its effects.	Include digital-literacy assessment instruments, standardized ICT-use questionnaires, web and app analytics tools and protocols, platform API datasets and scraping methodologies, user-experience testing protocols, and measures for digital inclusion/exclusion. Exclude tools solely for hardware benchmarking or non-human machine performance metrics that do not inform social science questions about digitalization.
2185	digitale kompetenz	Assessment instruments, competency frameworks and measurement tools for digital competence.	Include validated questionnaires, standardized test batteries, competency frameworks (e.g. DigComp, ISTE standards), rubrics for digital task performance, observational protocols, item banks for assessing digital literacy, and manuals documenting administration and scoring. Also include digital learning/training curricula and validated pre/post questionnaires used in interventions. Exclude proprietary instruments with no documentation, technical software tools unrelated to assessment (e.g. server monitoring), or general ICT infrastructure checklists that do not assess human competence.
49398	digitalisierung und arbeit	Measurement instruments and tools for researching digitalization and work.	Include surveys and questionnaires for firms and employees on ICT use and digital task content, task-based job analysis instruments, occupational classification crosswalks (to map tasks to automation risk), skill demand taxonomies, employer survey modules, audit tools for workplace digital maturity, and software to analyze job postings or platform work data. Include validated measurement guides and coding manuals. Exclude technical IT deployment manuals and proprietary HR systems without methodological documentation.
5051	digitalisierung am arbeitsplatz	Tools and instruments for assessing workplace digitalization and its impacts.	Include workplace assessment checklists, digital maturity models, staff surveys and interview protocols focusing on digital tool adoption and task change, observational protocols for workflow analysis, training evaluation instruments, and guidance documents for implementing digital change. Also include coding schemes for categorizing workplace technologies and task types. Exclude general ICT procurement guides lacking research-oriented measurement detail.
50992	digitalisierung arbeit	Measurement frameworks and instruments for studying digitization's impact on work and occupations.	Include validated survey modules for ICT and digital task measurement, job analysis tools that classify task content by digital intensity, instruments to measure skill mismatch, software for text-mining job ads to extract digital skill demand, and guidelines for mapping technologies to occupations. Include coding manuals and replication resources. Exclude developer-oriented tools that measure system performance without linking to human work.
50011	diskriminierung in schulen	Instruments and tools for measuring discrimination, bias and school climate.	Include validated survey instruments for perceived discrimination and school climate, observational protocols for classroom interactions, teacher implicit bias tests (e.g. adapted IATs), coding schemes for disciplinary decisions, measurement tools for tracking and streamlining practices, evaluation frameworks for anti-discrimination programs, and interview/qualitative guides for investigating discriminatory experiences. Include manuals and psychometric documentation. Exclude informal checklists without validation or tools unrelated to school-level discrimination measurement.
505	diskriminierung	Surveys, scales, experimental protocols, audit study designs, coding schemes, and measurement instruments developed to assess discrimination and related constructs.	Include validated questionnaires and scales measuring perceived or experienced discrimination, standardized modules used in social surveys, protocols for field experiments and correspondence/audit studies, coding manuals for discrimination case records, and psychometric evaluations of discrimination measures. Exclude instruments unrelated to social discrimination (e.g., technical discrimination algorithms in signal processing) and generic survey tools lacking discrimination content.
1851	education	Measurement instruments and tools used in education research: standardized tests, assessment batteries, curriculum evaluation tools, survey modules on education, and program evaluation protocols.	Include validated achievement tests, assessment instruments (e.g., reading/math tests), survey modules and questionnaires about schooling and educational attainment, teacher and school evaluation tools, and protocols for implementing and evaluating educational interventions. Exclude general-purpose survey tools without education modules and instruments from unrelated technical domains.
2769	einstellung zum islam	Survey questions, scales, experimental vignettes, and coding schemes developed to measure attitudes toward Islam and related constructs (Islamophobia, social distance, threat perceptions).	Include validated attitude scales and survey modules on Islam/Muslims, feeling thermometer items, social distance scales adapted for Muslim targets, vignettes and experimental protocols assessing bias toward Muslims, and coding manuals for media or discourse analysis about Islam. Exclude measurement tools unrelated to attitudes toward Islam or generic instruments without adaptation to Muslim targets.
47410	einstellung zur zuwanderung	Survey modules, scales, vignettes, and experimental protocols designed to measure or influence attitudes toward immigration and migrants.	Include standardized question batteries on immigration attitudes, validated threat and social distance scales adapted for migrants, experimental vignette designs manipulating immigrant characteristics, and coding schemes for media or political discourse about migration. Exclude measurement tools not tailored to migration attitudes or purely administrative tools about migration processes.
47832	einstellung zu ausländern	Measurement instruments for attitudes toward foreigners: survey questions, xenophobia scales, experimental vignettes, and coding schemes for discourse about foreigners.	Include validated scales and survey modules assessing xenophobia and attitudes toward foreigners, social distance measures, experimental protocols testing bias against foreigners, and tools for content analysis of media or political rhetoric about foreigners. Exclude instruments unrelated to social attitudes or those focusing on diplomatic/legal definitions rather than public perceptions of people.
47836	einstellung zu fremden	Questionnaires, survey modules, scales and coding schemes used to measure attitudes to foreigners: social distance scales (e.g., Bogardus items), prejudice/xenophobia indexes, contact measures, and vignette instruments.	Include validated instruments and bespoke survey modules that measure attitudes toward foreigners or immigrants (e.g., Bogardus Social Distance Scale items adapted for immigrants, threat/perceived competition scales, feeling thermometer items, experimental vignettes manipulating immigrant characteristics). Also include coding manuals and question wordings used in major surveys. Exclude measurement tools unrelated to social attitudes (e.g., clinical scales) and instruments that only measure immigrant demographics without attitudinal items.
5783	einstellung gender	Questionnaires and measurement tools used to assess gender attitudes: standardized scales (e.g., Ambivalent Sexism Inventory), ISSP/EFA gender modules, question batteries on gender roles, and coding schemes for gender-attitude items.	Include validated instruments and commonly used survey question wordings for measuring gender attitudes (Ambivalent Sexism Inventory, Gender Role Attitudes scales, ISSP Family and Changing Gender Roles module items), guidance on constructing indices, and experimental vignettes manipulating gender cues. Exclude instruments that measure biological sex or gender identity only, or clinical instruments unrelated to social attitudes.
47494	einstellungen zum islam	Measurement instruments and survey modules for attitudes toward Islam: Islamophobia scales, social distance questionnaires, question wordings on Muslim-related policies, and vignette experiments concerning Muslim characteristics.	Include validated scales and commonly used items for measuring anti-Muslim attitudes (e.g., Islamophobia Scale adaptations), Bogardus-style social distance items tailored to Muslims, policy-question batteries (e.g., mosque, dress codes), and experimental vignettes manipulating religious identity. Also include coding guides and translations of question wordings. Exclude theological assessment tools or instruments measuring Muslim religiosity without items on public attitudes toward Islam.
66819	employ poland	Survey instruments and administrative tools used to measure employment in Poland: LFS questionnaires, national employment survey modules, coding manuals (ISCO/NACE), and administrative data linkage protocols.	Include full question wordings from labor force and employment surveys used in Poland (Polish LFS, EU-LFS modules), standardized occupation and industry coding schemes (ISCO, NACE), wage imputation procedures, and documentation for linking administrative employment records. Also include questionnaires for employment histories and job quality assessments. Exclude instruments unrelated to employment measurement or those applicable only outside the Polish context without adaptation.
67161	entfremdung der arbeit	Measurement instruments for work alienation: validated scales (e.g., Seeman's scales, Blauner’s items), questionnaires for autonomy/control, job meaning scales, and coding manuals for constructing alienation indices.	Include established instruments and question batteries measuring work alienation and its subdimensions (e.g., Seeman's alienation constructs, Work Alienation Scale adaptations, items on autonomy and meaningfulness), survey modules from EWCS or company HR surveys, and guidance on index construction and validation. Also include qualitative interview guides focusing on alienation experiences at work. Exclude general wellbeing instruments not tied to work context unless they incorporate workplace-specific items.
79	environment	Measurement instruments and tools used in environmental research: ecological assessment protocols, environmental attitude scales, sensors and monitoring devices, GIS tools, and survey modules (e.g., ISSP/ESS environment modules).	Include validated attitude scales (e.g., NEP), standardized monitoring protocols, sensor specifications and calibration procedures, GIS/remote sensing workflows, and survey modules designed to capture environmental attitudes, behaviours and perceptions. Exclude generic measurement tools that are not applied to environmental measurement (e.g., general psychometric scales with no environmental items) unless adapted for environmental research.
66255	environmental attitude	Validated instruments and survey modules for measuring environmental attitudes: NEP scale, Environmental Concern scales, ISSP/ESS environment modules, and experimental vignettes for attitude measurement.	Include multi-item scales (e.g., New Ecological Paradigm), standard survey modules (ISSP Environment, ESS environment-related items), validated short-form scales, question batteries with phrasing and response options, and measurement guides. Also include tools for scale validation (factor analysis scripts, reliability coefficients). Exclude generic attitude instruments that do not include environmental content.
6177	erziehung	Measurement instruments and pedagogical tools used in research on Erziehung: parenting questionnaires, HOME inventory, standardized child development tests, teacher-report scales, and curriculum/intervention materials.	Include validated parenting and family functioning questionnaires (e.g., Parenting Styles and Dimensions Questionnaire), observational protocols, early childhood assessment tools, teacher rating instruments, and intervention manuals for parenting or educational programs. Include German-language instruments or translations and documentation of reliability/validity. Exclude tools that are not designed to measure upbringing, parenting or educational processes.
69762	evaluation soziale arbeit	Evaluation instruments and tools for social work: outcome measurement scales, case management systems, logic models, standardized assessment tools (e.g., HoNOS, CORE-OM where applicable), and guidelines for programme evaluation in social work.	Include validated outcome scales used in social care, structured assessment tools, protocols for routine outcome monitoring, implementation fidelity checklists, cost-effectiveness templates, and evaluation toolkits tailored to social work practice (including German-language toolkits). Also include qualitative evaluation guides and mixed-methods instruments commonly used in social work evaluations. Exclude general evaluation tools that are not adapted to social work contexts unless documented as applied successfully in social work settings.
69276	external political efficacy	Measurement instruments and survey modules used to assess external political efficacy: validated scale items, survey batteries from major studies (ANES, ESS, ISSP), and analytic tools for constructing efficacy indices.	Include standard question wordings and response formats for external efficacy items, validated multi-item scales where available, harmonization guides for cross-national comparison, and codebooks/scripts for scale construction and reliability testing. Exclude measurement tools that only address internal efficacy or general civic attitudes without items on institutional responsiveness.
69667	familie beruf	Survey modules, time‑use diaries, life‑history calendars, administrative linkage protocols, employer questionnaires, and standard scales measuring work–family conflict and reconciliation policies.	Include instruments used to collect or measure work–family data: household roster modules, employment histories, occupational coding schemes (e.g., ISCO), standardized time‑use diaries, validated scales for work–family conflict/work‑life balance (e.g., Netemeyer work–family conflict items), parental leave and childcare modules, life history calendars capturing career and family events, employer survey instruments on flexible work, and protocols for linking administrative employment/benefit records to family registers. Exclude instruments focused only on clinical assessment or unrelated domains.
69687	familie karriere	Career history modules, employer HR surveys, life‑history calendars, promotion and salary coding schemes, qualitative interview guides on career and family balancing.	Include instruments for capturing career trajectories and family timing: structured career history questionnaires, administrative payroll and HR data extraction tools, life course calendars mapping births and job changes, occupational coding (ISCO), pay scale coding, standardized measures of career progression and ambition, and semi‑structured interview guides exploring career decisions after family events. Exclude instruments not designed to record temporal links between family and career.
52915	family and changing gender roles	Standardized attitude batteries (e.g., ESS gender items), time‑use diary instruments, household task inventories, qualitative interview guides on gender and family, and coding schemes for task allocation.	Include measurement instruments used to study changing gender roles: survey modules on gender role attitudes (items from ESS, WVS, Eurobarometer), validated scales for egalitarianism, 24‑hour or activity‑based time‑use diaries, household chore checklists, life history interviews capturing shifts in role expectations, observational protocols for family interaction, and methods for coding and quantifying task division. Exclude tools not applicable to measuring gendered behaviour or attitudes in family contexts.
67689	family	Household rosters, family history calendars, vital record linkage protocols, time‑use instruments, parenting questionnaires, kinship matrix coding schemes, and qualitative interview guides on family life.	Include instruments for collecting family data: standard household roster modules, life‑history and event history calendars capturing marriages and births, protocols for linking administrative vital records to survey data, 24‑hour and episode‑based time‑use diaries, parenting and caregiving scales, intergenerational transfer modules, and semi‑structured interview guides on family relationships. Include classification schemes for household types and kinship coding. Exclude instruments that do not support constructing family or household indicators.
67775	family and gender	Gender attitude batteries, sex‑disaggregated time‑use diaries, household chore inventories, parental leave registries by sex, interview guides on gendered family roles, and coding schemes for gendered task allocation.	Include instruments designed to capture gendered dimensions of family life: validated gender‑attitude items (ESS/WVS), 24‑hour and activity‑based time‑use instruments with respondent sex, modules on distribution of household tasks, administrative registries recording parental leave by gender, qualitative interview protocols probing gendered decision making and care practices, and analytical tools for coding and quantifying gendered divisions of labour. Exclude measurement tools that do not distinguish gender or cannot be applied to family contexts.
68742	form of employment	Questionnaire modules, coding manuals and classification schemes used to collect and code employment form data: employment status modules, contract-type questions, working hours modules, ILO and EU-LFS question sets, labor market coding manuals and job exposure matrices for precariousness.	Relevant instruments: standard labor force survey question batteries (ILO/EU-LFS style), national microcensus employment modules, panel survey employment modules (SOEP/GSOEP employment history), employer-employee survey modules on contract characteristics, and coding schemes for temporary vs. permanent contracts. Include documentation on harmonization protocols and translation notes. Exclude instruments that only measure firm-level characteristics unrelated to individual contract or that lack items on contract/arrangement type.
